region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5
1;Norte;15;PA;Pará;1507607;São Miguel do Guamá;1132578.033;21412.22;938620.655;17744.98;792510.061;13149.77;248068.914;47186.235;173800.045;272181.071;741236.264;51273.796;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;77.4;0.774445;237.47;239.53;4.616667;3.6;;99.6;0.994949;260.57;262.16;4.273756;4.3;;;;;;;;;87.8;0.879062;198.94;193.91;5.286254;4.6;;87.8;0.879062;198.94;193.91;5.286254;4.6;;99.6;0.994949;260.57;262.16;4.273756;4.3;;77.4;0.774445;237.47;239.53;4.616667;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1507706;São Sebastião da Boa Vista;309742.598;12079.03;264513.835;10315.25;244687.865;8962.27;66735.7;5511.015;32686.325;133171.308;238104.347;6583.518;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Demais serviços;6;True;88.0;0.880306;254.99;254.41;5.156667;4.5;;98.5;0.976257;257.63;260.14;4.202224;4.1;;;;;;;;;93.5;0.933708;202.84;193.66;5.356136;5.0;;93.5;0.933708;202.84;193.66;5.356136;5.0;;98.5;0.976257;257.63;260.14;4.202224;4.1;;88.0;0.880306;254.99;254.41;5.156667;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1507755;Sapucaia;172700.146;29536.54;160507.213;27451.21;141044.938;23167.7;56540.62;6977.9;27619.501;39682.993;130821.013;10223.925;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;75.7;0.768707;232.11;242.44;4.575833;3.5;;100.0;1.0;241.54;271.47;4.145852;4.1;;;;;;;;;86.5;0.860048;211.26;195.66;5.553187;4.8;;86.5;0.860048;211.26;195.66;5.553187;4.8;;100.0;1.0;241.54;271.47;4.145852;4.1;;75.7;0.768707;232.11;242.44;4.575833;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1507805;Senador José Porfírio;341243.519;15115.32;327336.372;14499.31;246021.658;21762.2;105172.954;9715.667;45566.086;76524.766;236979.473;9042.186;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;83.3;0.835729;235.71;241.16;4.6145;3.9;;97.8;0.951353;254.09;269.76;4.296517;4.1;;;;;;;;;90.2;0.903844;190.88;181.63;4.909164;4.4;;90.2;0.903844;190.88;181.63;4.909164;4.4;;97.8;0.951353;254.09;269.76;4.296517;4.1;;83.3;0.835729;235.71;241.16;4.6145;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1507904;Soure;338748.476;13995.56;277731.78;11474.62;241544.508;9379.64;53587.834;7350.342;55108.21;114484.542;230530.928;11013.58;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;7;True;91.4;0.915492;229.57;229.45;4.317;4.0;;99.1;0.988055;247.58;254.53;3.977091;3.9;;97.9;0.981407;223.4;227.03;4.173833;4.1;;88.9;0.885058;195.03;179.76;4.954363;4.4;;88.9;0.885058;195.03;179.76;4.954363;4.4;;99.1;0.988055;247.58;254.53;3.977091;3.9;;85.4;0.858662;237.65;232.62;4.5045;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1507953;Tailândia;2023567.633;27913.97;1738043.04;23975.32;1291016.866;11573.02;154773.953;178234.038;366147.457;421539.095;1120694.544;170322.322;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;83.5;0.840726;233.74;238.78;4.542;3.8;;99.4;0.991541;256.1;263.62;4.232832;4.2;;;;;;;;;90.9;0.904717;187.73;178.11;4.78505;4.3;;90.9;0.904717;187.73;178.11;4.78505;4.3;;99.4;0.991541;256.1;263.62;4.232832;4.2;;83.5;0.840726;233.74;238.78;4.542;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1507961;Terra Alta;114730.932;11031.82;101759.842;9784.6;82918.903;6926.65;8621.476;2693.88;14728.878;54485.072;80529.306;2389.596;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;7;True;95.5;0.955219;234.97;241.08;4.600833;4.4;;97.5;0.960043;256.7;257.43;4.148594;4.0;;97.4;0.976195;238.02;236.38;4.573333;4.5;;94.9;0.947395;189.82;181.53;4.887117;4.6;;94.9;0.947395;189.82;181.53;4.887117;4.6;;97.5;0.960043;256.7;257.43;4.148594;4.0;;94.3;0.944947;228.44;251.17;4.660167;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1507979;Terra Santa;590339.138;31431.11;875905.194;46635.35;519258.388;27239.07;25487.82;303388.64;76015.401;101169.786;506061.647;13196.741;Indústrias extrativas;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;94.0;0.940391;252.6;252.5;5.085;4.8;;100.0;1.0;256.05;264.01;4.237968;4.2;;;;;;;;;99.5;0.994778;222.16;213.5;6.085566;6.1;;99.5;0.994778;222.16;213.5;6.085566;6.1;;100.0;1.0;256.05;264.01;4.237968;4.2;;94.0;0.940391;252.6;252.5;5.085;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1508001;Tomé-Açu;1746482.552;25841.27;1297601.649;19279.42;1039720.854;16093.75;224586.666;109035.722;265510.884;334983.484;934116.756;105604.098;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;95.1;0.950421;241.08;245.6;4.778;4.5;;98.3;0.970713;250.54;258.8;4.082586;4.0;;;;;;;;;99.0;0.989742;202.23;193.01;5.332677;5.3;;99.0;0.989742;202.23;193.01;5.332677;5.3;;98.3;0.970713;250.54;258.8;4.082586;4.0;;95.1;0.950421;241.08;245.6;4.778;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1508035;Tracuateua;391637.992;13696.03;339249.012;11863.93;285003.521;9033.68;82239.584;18492.832;35285.819;142050.859;278069.094;6934.427;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;78.2;0.783232;222.47;230.95;4.223667;3.3;;99.4;0.992214;240.97;244.34;3.731709;3.7;;;;;;;;;91.2;0.914612;194.56;187.36;5.083575;4.6;;91.2;0.914612;194.56;187.36;5.083575;4.6;;99.4;0.992214;240.97;244.34;3.731709;3.7;;78.2;0.783232;222.47;230.95;4.223667;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
