region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4
1;Norte;11;RO;Rondônia;1100296;Santa Luzia D'Oeste;291886.731;39343.14;262242.618;35347.43;213590.225;35945.85;106979.911;13082.702;33187.597;51633.282;204883.492;8706.732;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;7;True;93.3;0.947672;261.21;263.88;5.418167;5.1;;99.3;0.989609;266.63;274.74;4.547192;4.5;;99.3;0.989609;266.63;274.74;4.547192;4.5;;95.3;0.944501;221.43;206.32;5.941089;5.6;;95.3;0.944501;221.43;206.32;5.941089;5.6;;100.0;1.0;255.45;242.11;4.959333;5.0;;;;;;;;;95.7;0.952663;257.5;249.87;5.122833;4.9;;;;;;;;
1;Norte;11;RO;Rondônia;1100304;Vilhena;5115785.079;53382.85;4515119.507;47114.95;4215441.811;40332.59;674880.42;369205.556;1712252.035;777251.976;3533589.987;681851.824;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;7;True;90.0;0.9009;251.92;250.19;5.035167;4.5;;82.8;0.839622;277.68;287.64;4.895502;4.1;;81.3;0.826923;272.9;281.88;4.74214;3.9;;95.6;0.952331;217.23;206.03;5.855663;5.6;;95.6;0.952106;217.23;206.03;5.855663;5.6;;96.5;0.96518;254.15;258.38;5.208833;5.0;;;;;;;;;95.4;0.954474;253.85;257.31;5.186;4.9;;;;;;;;
1;Norte;11;RO;Rondônia;1100320;São Miguel do Guaporé;1549191.677;74674.23;1383948.43;63968.03;905340.789;39112.66;381638.945;82318.381;199587.559;176033.832;839578.717;65762.072;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;7;True;99.3;0.993371;250.3;249.76;5.001;5.0;;98.6;0.986642;264.2;269.32;4.431925;4.4;;98.6;0.986642;264.2;269.32;4.431925;4.4;;99.3;0.99174;207.79;198.46;5.537874;5.5;;99.3;0.99174;207.79;198.46;5.537874;5.5;;99.5;0.994485;259.24;254.93;5.236167;5.2;;;;;;;;;99.4;0.99395;257.68;254.03;5.195167;5.2;;;;;;;;
1;Norte;11;RO;Rondônia;1100338;Nova Mamoré;1060566.252;41682.37;928841.773;36505.34;742686.01;23076.25;344262.837;21481.29;129299.19;214671.737;709715.055;32970.955;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;;;;;;;;94.1;0.944709;254.6;258.41;4.13377;3.9;;94.1;0.944709;254.6;258.41;4.13377;3.9;;91.8;0.915674;196.65;184.46;5.070734;4.6;;91.5;0.912488;196.65;184.46;5.070734;4.6;;95.3;0.953727;236.53;236.49;4.550333;4.3;;;;;;;;;93.9;0.938684;236.53;236.49;4.550333;4.3;;;;;;;;
1;Norte;11;RO;Rondônia;1100346;Alvorada D'Oeste;486626.485;37098.92;435099.488;33170.66;352629.612;25539.92;147689.219;11552.751;72542.819;104853.489;336638.278;15991.334;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;8;True;94.7;0.947614;230.47;229.28;4.329167;4.1;;97.6;0.974725;254.03;253.51;4.052411;3.9;;97.6;0.974725;254.03;253.51;4.052411;3.9;;98.8;0.988357;208.51;196.05;5.507797;5.4;;98.0;0.977453;200.23;191.62;5.269236;5.2;;98.3;0.984091;247.58;246.15;4.8955;4.8;;100.0;1.0;211.4;197.59;5.590949;5.6;;97.0;0.969563;242.9;241.53;4.7405;4.6;;;;;;;;
1;Norte;11;RO;Rondônia;1100379;Alto Alegre dos Parecis;575129.366;50102.74;570359.834;49687.24;483672.306;36454.05;277663.855;18507.079;63694.093;103294.41;463159.436;20512.869;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;6;True;;;;;;;;89.9;0.903741;278.99;281.1;4.815997;4.4;;89.9;0.903741;278.99;281.1;4.815997;4.4;;95.3;0.950695;218.65;207.91;5.916944;5.6;;95.4;0.951934;218.65;207.91;5.916944;5.6;;96.9;0.981328;267.38;266.45;5.563833;5.5;;;;;;;;;89.0;0.888118;267.38;266.45;5.563833;4.9;;;;;;;;
1;Norte;11;RO;Rondônia;1100403;Alto Paraíso;667923.438;40926.68;605617.061;37108.89;510740.487;22946.38;185476.519;24383.68;119575.728;148950.644;478386.571;32353.916;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;4;True;;;;;;;;;;;;;;;;;;;;;;93.4;0.930712;202.8;197.09;5.417736;5.0;;93.4;0.930712;202.8;197.09;5.417736;5.0;;98.2;0.980664;251.81;246.35;4.969333;4.9;;;;;;;;;94.0;0.940171;251.81;246.35;4.969333;4.7;;;;;;;;
1;Norte;11;RO;Rondônia;1100452;Buritis;1221007.917;43619.89;1104420.348;39454.86;966555.755;23549.83;336952.669;35156.267;248229.417;272916.168;893254.521;73301.234;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;6;True;;;;;;;;83.8;0.833004;257.58;259.69;4.194786;3.5;;83.8;0.833004;257.58;259.69;4.194786;3.5;;97.3;0.969898;209.36;201.12;5.6162;5.4;;97.3;0.969898;209.36;201.12;5.6162;5.4;;96.8;0.967206;243.03;241.95;4.749667;4.6;;;;;;;;;96.8;0.967206;243.03;241.95;4.749667;4.6;;;;;;;;
1;Norte;11;RO;Rondônia;1100502;Novo Horizonte do Oeste;331958.408;43297.04;268863.485;35067.63;231501.394;28492.48;106735.659;12106.476;40100.003;61437.989;220380.128;11121.267;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;;;;;;;;98.0;0.981658;271.31;268.92;4.525796;4.4;;98.0;0.981658;271.31;268.92;4.525796;4.4;;98.3;0.983048;231.39;210.01;6.198256;6.1;;98.3;0.983048;231.39;210.01;6.198256;6.1;;99.2;0.992443;253.31;245.39;4.978333;4.9;;;;;;;;;99.2;0.992443;253.31;245.39;4.978333;4.9;;;;;;;;
1;Norte;11;RO;Rondônia;1100601;Cacaulândia;238989.35;57587.8;219344.748;52854.16;275337.58;43655.87;194610.078;3288.051;22239.496;47543.929;267681.554;7656.026;Pecuária, inclusive apoio à pecuária;Produção florestal, pesca e aquicultura;Administração, defesa, educação e saúde públicas e seguridade social;6;True;;;;;;;;97.9;0.981819;251.51;252.09;3.99576;3.9;;97.9;0.981819;251.51;252.09;3.99576;3.9;;94.3;0.93803;198.12;180.46;5.02606;4.7;;94.3;0.93803;198.12;180.46;5.02606;4.7;;96.7;0.967359;232.56;235.53;4.468167;4.3;;;;;;;;;97.1;0.970875;232.56;235.53;4.468167;4.3;;;;;;;;
1;Norte;11;RO;Rondônia;1100700;Campo Novo de Rondônia;455251.255;51475.72;398840.84;45097.34;369126.71;25649.83;204767.413;15948.519;32156.932;105266.335;358139.199;10987.511;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;;;;;;;;90.1;0.902839;263.94;262.18;4.321387;3.9;;90.1;0.902839;263.94;262.18;4.321387;3.9;;91.5;0.907567;202.92;187.53;5.246208;4.8;;91.5;0.907567;202.92;187.53;5.246208;4.8;;93.4;0.937385;251.18;244.76;4.932333;4.6;;;;;;;;;90.1;0.904202;251.18;244.76;4.932333;4.5;;;;;;;;
1;Norte;11;RO;Rondônia;1100809;Candeias do Jamari;1001610.328;44895.13;791506.956;35592.54;655569.172;23356.46;141452.035;133642.718;138507.479;204881.885;618484.117;37085.055;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Pecuária, inclusive apoio à pecuária;7;True;;;;;;;;91.5;0.924624;255.34;265.19;4.24566;3.9;;91.5;0.924624;255.34;265.19;4.24566;3.9;;92.1;0.920357;195.06;186.54;5.078208;4.7;;92.5;0.9215;194.02;183.68;5.006361;4.6;;88.8;0.891195;239.33;245.06;4.739833;4.2;;83.6;0.935241;199.08;197.55;5.355108;5.0;;87.0;0.874775;239.33;245.06;4.739833;4.1;;;;;;;;
