region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5
2;Nordeste;22;PI;Piauí;2210706;Simões;543067.932;37844.46;412377.638;28737.12;434505.359;29630.75;23503.437;266066.724;41483.996;87877.114;418931.271;15574.088;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;7;True;94.3;0.946218;265.19;255.63;4.240889;4.0;;94.3;0.946218;265.19;255.63;4.240889;4.0;;100.0;1.0;270.69;262.86;5.559167;5.6;;100.0;1.0;276.48;270.71;5.7865;5.8;;100.0;1.0;256.58;244.03;7.297527;7.3;;100.0;1.0;256.58;244.03;7.297527;7.3;;100.0;1.0;284.01;280.91;6.082;6.1;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2210805;Simplício Mendes;236710.73;17066.38;207880.633;14975.91;182911.528;14314.57;20291.992;10674.996;66536.487;70602.206;168105.681;14805.848;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;98.0;0.980938;258.24;255.82;4.146121;4.1;;98.0;0.980938;258.24;255.82;4.146121;4.1;;99.0;0.990682;250.65;245.53;4.936333;4.9;;99.0;0.990682;250.65;245.53;4.936333;4.9;;100.0;1.0;241.59;227.4;6.709094;6.7;;100.0;1.0;241.59;227.4;6.709094;6.7;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2210904;Socorro do Piauí;52907.478;12776.5;43637.017;10537.8;41066.523;9011.75;4592.603;2010.41;8481.063;24229.736;39313.812;1752.711;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;96.7;0.958874;280.24;271.85;4.69508;4.5;;96.7;0.958874;280.24;271.85;4.69508;4.5;;87.1;0.865847;224.42;219.87;4.0715;3.5;;87.1;0.865847;224.42;219.87;4.0715;3.5;;95.9;0.962695;194.11;185.95;5.049351;4.9;;95.9;0.962695;194.11;185.95;5.049351;4.9;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2210938;Sussuapara;85293.366;13712.76;71571.624;11506.69;76908.478;11308.41;18163.785;3663.646;16895.527;34083.87;72806.827;4101.651;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;7;True;98.2;0.983771;284.65;274.83;4.801629;4.7;;98.2;0.983771;284.65;274.83;4.801629;4.7;;80.1;0.812116;229.59;219.57;4.152667;3.4;;88.7;0.887294;253.37;238.68;4.8675;4.3;;92.2;0.922437;209.34;204.95;5.685455;5.2;;92.2;0.922437;209.34;204.95;5.685455;5.2;;99.4;0.991541;272.05;253.7;5.429167;5.4;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2210953;Tamboril do Piauí;39133.59;13270.12;33718.466;11433.86;30387.569;10339.42;3227.198;1042.817;5971.512;19103.022;29344.549;1043.02;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;100.0;1.0;248.62;238.9;3.757715;3.8;;100.0;1.0;248.62;238.9;3.757715;3.8;;100.0;1.0;231.98;237.22;4.486667;4.5;;100.0;1.0;231.98;237.22;4.486667;4.5;;99.5;0.996347;188.76;179.3;4.826343;4.8;;99.5;0.996347;188.76;179.3;4.826343;4.8;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2210979;Tanque do Piauí;44035.038;19013.4;36928.978;15945.15;33180.53;11931.15;7187.766;1255.965;5834.54;17518.391;31796.663;1383.867;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;89.1;0.873401;310.74;295.45;5.476744;4.8;;89.1;0.873401;310.74;295.45;5.476744;4.8;;97.2;0.937333;293.06;280.44;6.225;5.8;;97.2;0.937333;293.06;280.44;6.225;5.8;;94.7;0.94792;247.05;235.28;6.956566;6.6;;94.7;0.94792;247.05;235.28;6.956566;6.6;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2211001;Teresina;29449062.918;33994.07;25943687.979;29947.69;23954511.044;27498.33;55078.704;3540779.695;12461691.999;4558115.253;20615665.652;3338845.392;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;9;True;97.2;0.974442;273.94;277.99;4.698513;4.6;;97.7;0.9771;271.8;275.89;4.63702;4.5;;98.2;0.982182;280.05;277.19;5.954;5.8;;98.0;0.980435;273.59;273.78;5.7895;5.7;;99.3;0.993359;228.49;227.64;6.463458;6.4;;99.4;0.99436;228.95;228.32;6.4846;6.4;;97.6;0.974401;260.63;266.94;5.4595;5.3;;92.1;0.903107;307.38;310.97;5.661889;5.1;;97.1;0.973818;221.03;216.62;6.120728;6.0;
2;Nordeste;22;PI;Piauí;2211100;União;609122.249;13207.62;516520.882;11199.74;420369.549;9414.98;32606.004;28184.648;123253.191;208950.466;392994.31;27375.239;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;94.3;0.94652;256.54;255.16;4.112365;3.9;;94.3;0.94652;256.54;255.16;4.112365;3.9;;99.8;0.998249;257.89;256.79;5.244667;5.2;;99.6;0.995481;253.04;252.07;5.085167;5.1;;99.9;0.999399;212.62;199.57;5.650232;5.6;;99.9;0.999399;212.62;199.57;5.650232;5.6;;98.4;0.980942;246.25;245.48;4.862167;4.8;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2211209;Uruçuí;4226265.639;167688.99;3903796.402;154894.12;2829979.498;130137.93;1130773.724;537026.126;642861.191;131805.916;2442466.957;387512.542;Agricultura, inclusive apoio à agricultura e a pós colheita;Indústrias de transformação;Demais serviços;8;True;96.0;0.962602;255.66;252.05;4.053448;3.9;;94.3;0.944409;252.19;248.37;3.949622;3.7;;97.5;0.976097;236.48;230.9;4.456333;4.3;;98.2;0.982915;246.69;237.62;4.7385;4.7;;99.6;0.996195;183.19;177.86;4.693863;4.7;;99.6;0.996195;183.19;177.86;4.693863;4.7;;100.0;1.0;258.76;245.56;5.072;5.1;;99.2;0.993305;263.22;260.06;4.279538;4.3;;;;;;;;
2;Nordeste;22;PI;Piauí;2211308;Valença do Piauí;385863.696;17319.61;327235.226;14686.74;289697.519;13834.65;19147.302;21585.804;121869.323;101960.353;264562.782;25134.737;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;97.5;0.976256;281.29;282.04;4.862372;4.7;;99.0;0.990598;279.78;275.63;4.745206;4.7;;87.8;0.884147;225.85;231.4;4.2875;3.8;;92.2;0.922339;247.84;253.05;5.014833;4.6;;93.7;0.936127;190.91;180.8;4.894646;4.6;;93.7;0.936127;190.91;180.8;4.894646;4.6;;100.0;1.0;270.17;275.03;5.753333;5.8;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2211357;Várzea Branca;60846.104;12036.82;52620.086;10409.51;44540.612;9034.61;6273.49;1506.901;7443.352;27923.183;43146.926;1393.687;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;98.0;0.98001;254.76;261.31;4.17943;4.1;;98.0;0.98001;254.76;261.31;4.17943;4.1;;81.7;0.817084;231.68;243.59;4.587833;3.7;;81.7;0.817084;231.68;243.59;4.587833;3.7;;96.6;0.965386;182.72;177.67;4.681439;4.5;;96.6;0.965386;182.72;177.67;4.681439;4.5;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2211407;Várzea Grande;54664.274;12375.88;46140.946;10446.22;40996.433;9355.64;5267.286;2004.096;9119.039;22551.108;38941.529;2054.904;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;97.7;0.980804;261.66;270.72;4.417209;4.3;;97.7;0.980804;261.66;270.72;4.417209;4.3;;92.0;0.931939;256.51;245.74;5.0375;4.7;;92.0;0.931939;256.51;245.74;5.0375;4.7;;96.3;0.958456;213.76;208.69;5.837806;5.6;;96.3;0.958456;213.76;208.69;5.837806;5.6;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2211506;Vera Mendes;38796.279;12180.94;37034.048;11627.64;31077.818;10083.65;4611.824;1129.333;6593.274;17242.791;29577.221;1500.597;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;96.3;0.967219;263.11;257.23;4.235628;4.1;;96.3;0.967219;263.11;257.23;4.235628;4.1;;94.4;0.946011;250.41;235.97;4.773;4.5;;94.4;0.946011;250.41;235.97;4.773;4.5;;98.7;0.987957;193.74;181.56;4.962472;4.9;;98.7;0.987957;193.74;181.56;4.962472;4.9;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2211605;Vila Nova do Piauí;41920.877;14283.09;37315.568;12713.99;37035.262;12618.49;6398.148;1509.135;8684.375;18008.431;34600.089;2435.173;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;100.0;1.0;267.69;259.48;4.333636;4.3;;100.0;1.0;267.69;259.48;4.333636;4.3;;100.0;1.0;274.64;287.44;6.034667;6.0;;100.0;1.0;274.64;287.44;6.034667;6.0;;100.0;1.0;244.9;244.22;7.07808;7.1;;100.0;1.0;244.9;244.22;7.07808;7.1;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2211704;Wall Ferraz;58143.662;14324.63;44373.773;10932.19;38007.875;8485.79;4571.296;1569.617;6930.196;23482.345;36553.454;1454.421;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;90.8;0.909976;265.84;264.53;4.383252;4.0;;90.8;0.909976;265.84;264.53;4.383252;4.0;;99.5;0.995695;255.07;237.5;4.876167;4.9;;99.5;0.995695;255.07;237.5;4.876167;4.9;;100.0;1.0;204.36;203.66;5.566962;5.6;;100.0;1.0;204.36;203.66;5.566962;5.6;;;;;;;;;;;;;;;;;;;;;;
