region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5
2;Nordeste;23;CE;Ceará;2306553;Itarema;711164.955;16555.28;722769.139;16916.38;766786.2;18001.79;77677.866;305282.537;157933.222;183032.425;723926.051;42860.149;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;100.0;0.999599;242.73;224.23;6.673214;6.7;;99.8;0.997995;242.73;224.23;6.673214;6.7;;98.2;0.981894;276.85;276.37;4.715132;4.6;;98.2;0.981894;276.85;276.37;4.715132;4.6;;97.8;0.977884;259.85;263.23;5.384667;5.3;;97.3;0.972339;259.85;263.23;5.384667;5.2;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2306603;Itatira;236127.745;11561.29;190134.738;9309.38;174029.392;7903.96;19478.38;4314.131;45939.704;96437.473;166169.689;7859.703;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;100.0;1.0;248.39;229.9;6.88432;6.9;;100.0;1.0;248.39;229.9;6.88432;6.9;;93.8;0.93885;263.38;266.93;4.38463;4.1;;93.8;0.93885;263.38;266.93;4.38463;4.1;;99.7;0.997492;279.35;273.29;5.877333;5.9;;99.7;0.997492;279.35;273.29;5.877333;5.9;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2306702;Jaguaretama;316966.522;18394.06;257163.179;14923.58;226643.899;12498.97;70781.83;10077.678;56204.985;78258.384;215322.877;11321.022;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;6;True;99.1;0.990637;227.2;219.3;6.287203;6.2;;99.1;0.990637;227.2;219.3;6.287203;6.2;;95.9;0.959884;270.28;263.97;4.437228;4.3;;95.9;0.959884;270.28;263.97;4.437228;4.3;;96.8;0.965387;260.05;268.02;5.467833;5.3;;96.8;0.965387;260.05;268.02;5.467833;5.3;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2306801;Jaguaribara;196533.274;18977.72;165067.345;15939.3;154002.311;13298.99;31063.126;6416.042;45304.105;62461.047;145244.32;8757.991;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;100.0;1.0;236.82;226.64;6.604246;6.6;;100.0;1.0;236.82;226.64;6.604246;6.6;;93.8;0.93948;256.87;250.58;4.048437;3.8;;93.8;0.93948;256.87;250.58;4.048437;3.8;;99.2;0.992133;259.42;254.97;5.239833;5.2;;99.2;0.992133;259.42;254.97;5.239833;5.2;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2306900;Jaguaribe;740827.469;21966.06;637710.516;18908.57;561174.778;16222.68;89541.641;52360.119;215447.604;155035.012;512384.377;48790.401;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;7;True;100.0;0.999599;239.76;231.18;6.742898;6.7;;100.0;0.999599;239.76;231.18;6.742898;6.7;;94.1;0.943852;274.01;270.7;4.590364;4.3;;96.9;0.971442;270.57;265.96;4.471092;4.3;;99.9;0.999499;258.23;261.41;5.327333;5.3;;99.9;0.999499;258.23;261.41;5.327333;5.3;;77.5;0.773702;292.01;295.49;5.214281;4.0;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2307007;Jaguaruana;665089.793;20980.09;598756.605;18887.63;566961.051;16694.97;86794.045;120924.162;141164.827;151553.719;500436.753;66524.298;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação;6;True;99.9;0.999399;231.2;225.47;6.475721;6.5;;99.9;0.999399;231.2;225.47;6.475721;6.5;;98.7;0.987311;285.61;280.61;4.901639;4.8;;98.7;0.987311;285.61;280.61;4.901639;4.8;;99.1;0.990977;257.99;266.06;5.400833;5.4;;99.1;0.990977;257.99;266.06;5.400833;5.4;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2307106;Jardim;369628.25;13484.67;310207.84;11316.91;294153.646;10819.64;67179.809;10124.956;75399.087;128952.973;281656.825;12496.821;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;99.8;0.998198;208.5;202.35;5.622151;5.6;;99.8;0.998198;208.5;202.35;5.622151;5.6;;97.0;0.972705;270.68;274.38;4.598685;4.5;;97.0;0.972705;270.68;274.38;4.598685;4.5;;98.9;0.98938;243.9;248.44;4.872333;4.8;;98.9;0.98938;243.9;248.44;4.872333;4.8;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2307205;Jati;129952.148;16531.25;140333.592;17851.88;129728.66;15917.63;16466.461;3241.711;56136.694;39429.044;115273.91;14454.75;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;100.0;1.0;239.76;219.74;6.534898;6.5;;100.0;1.0;239.76;219.74;6.534898;6.5;;98.9;0.990278;258.81;251.78;4.093648;4.1;;98.9;0.990278;258.81;251.78;4.093648;4.1;;99.6;0.995226;244.25;243.46;4.795167;4.8;;99.6;0.995226;244.25;243.46;4.795167;4.8;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2307254;Jijoca de Jericoacoara;711193.201;27829.9;696532.382;27256.21;551637.538;27106.16;9074.693;26429.711;347800.698;120725.63;504030.731;47606.806;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;6;True;100.0;1.0;336.4;304.96;9.653818;9.7;;100.0;1.0;336.4;304.96;9.653818;9.7;;98.6;0.987252;288.36;286.27;5.024993;5.0;;98.6;0.987252;288.36;286.27;5.024993;5.0;;99.8;0.997489;344.42;324.09;7.8085;7.8;;99.8;0.997489;344.42;324.09;7.8085;7.8;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2307304;Juazeiro do Norte;6457542.671;22569.35;5783730.209;20214.35;5114785.978;18381.06;31924.965;423899.008;2988179.724;1048871.539;4492875.236;621910.741;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;8;True;99.6;0.995993;203.38;203.15;5.538987;5.5;;99.6;0.995993;203.38;203.15;5.538987;5.5;;96.7;0.967603;276.55;277.45;4.727087;4.6;;96.7;0.966929;275.22;276.24;4.690293;4.5;;96.8;0.968208;247.44;255.58;5.050333;4.9;;96.9;0.969209;251.4;258.61;5.166833;5.0;;99.0;0.985513;338.92;334.36;6.455016;6.4;;100.0;1.0;333.25;321.1;7.5725;7.6;;;;;;;;
