region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4
1;Norte;17;TO;Tocantins;1708205;Formoso do Araguaia;988169.241;52336.7;857600.241;45421.34;1414038.409;77025.73;1071674.301;41145.56;126615.069;138497.775;1377932.705;36105.704;Produção florestal, pesca e aquicultura;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;8;True;97.4;0.968404;196.79;195.57;5.275405;5.1;;97.3;0.970834;213.62;207.3;5.809861;5.6;;95.0;0.950753;250.07;257.31;4.053679;3.9;;95.1;0.956573;250.07;257.31;4.053679;3.9;;97.1;0.965675;254.23;260.31;5.242333;5.1;;94.3;0.936606;246.23;251.81;4.967333;4.7;;90.3;0.896238;234.81;239.68;4.574833;4.1;;96.9;0.968586;249.39;232.23;6.945768;6.7;;;;;;;;
1;Norte;17;TO;Tocantins;1708254;Tabocão;173516.818;50221.94;221095.884;63993.02;232897.504;89062.14;54093.89;5847.466;101552.968;29674.517;191168.841;41728.663;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;7;True;97.6;0.977033;199.27;202.63;5.451097;5.3;;97.6;0.977033;199.27;202.63;5.451097;5.3;;100.0;1.0;258.32;245.71;3.995898;4.0;;100.0;1.0;258.32;245.71;3.995898;4.0;;100.0;1.0;233.72;245.07;4.6465;4.6;;99.6;0.996973;228.7;232.78;4.358;4.3;;99.3;0.994924;226.1;226.42;4.208667;4.2;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1708304;Goianorte;178251.939;37621.77;211187.516;44573.14;193502.296;37675.68;90652.788;33541.42;24056.781;39185.087;187436.075;6066.22;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;6;True;99.7;0.995935;195.2;197.92;5.287789;5.3;;99.7;0.995935;195.2;197.92;5.287789;5.3;;100.0;1.0;241.02;241.55;3.690645;3.7;;100.0;1.0;241.02;241.55;3.690645;3.7;;100.0;1.0;232.38;230.76;4.385667;4.4;;100.0;1.0;232.38;230.76;4.385667;4.4;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1709005;Goiatins;309167.291;24866.67;257057.354;20675.41;230924.169;17535.44;95969.404;6680.528;26493.729;95335.666;224479.327;6444.841;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;7;True;92.2;0.920419;188.22;178.62;4.803674;4.4;;93.0;0.926635;188.22;178.62;4.803674;4.5;;81.7;0.822581;245.27;235.05;3.65303;3.0;;81.7;0.822581;245.27;235.05;3.65303;3.0;;85.1;0.850668;231.9;221.04;4.215667;3.6;;86.0;0.860348;230.16;220.04;4.17;3.6;;87.0;0.872158;224.81;217.0;4.030167;3.5;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1709302;Guaraí;1130106.068;45614.78;1021436.593;41228.52;880402.901;33344.81;146990.704;38559.677;410569.391;188012.443;784132.216;96270.685;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;99.5;0.99496;207.96;203.24;5.628028;5.6;;99.5;0.99496;207.96;203.24;5.628028;5.6;;91.6;0.919265;269.0;278.18;4.631975;4.3;;91.6;0.919265;269.0;278.18;4.631975;4.3;;90.1;0.902344;252.1;254.34;5.107333;4.6;;91.4;0.91315;252.1;254.34;5.107333;4.7;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1709500;Gurupi;3695016.955;43406.95;3307378.513;38852.74;2648420.391;29950.02;135884.02;207473.485;1239004.277;707306.777;2289668.559;358751.832;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;8;True;99.0;0.98951;210.03;199.12;5.592622;5.5;;99.3;0.993768;227.63;216.22;6.239409;6.2;;96.3;0.963863;269.55;278.1;4.638502;4.5;;95.9;0.960107;271.55;280.21;4.698179;4.5;;99.9;0.998748;269.94;271.23;5.686167;5.7;;98.6;0.986242;262.13;262.71;5.414;5.3;;96.0;0.959925;242.44;241.24;4.728;4.5;;100.0;1.0;252.06;239.96;7.137267;7.1;;;;;;;;
1;Norte;17;TO;Tocantins;1709807;Ipueiras;71887.131;45212.03;49268.539;30986.5;47771.523;22879.08;20270.786;1535.944;4795.671;20277.949;46880.349;891.174;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;6;True;97.9;0.975637;199.4;194.61;5.30776;5.2;;97.9;0.975637;199.4;194.61;5.30776;5.2;;100.0;1.0;260.6;233.2;3.840645;3.8;;100.0;1.0;260.6;233.2;3.840645;3.8;;100.0;1.0;224.45;223.29;4.129;4.1;;89.8;0.889118;224.45;223.29;4.129;3.7;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1710508;Itacajá;199694.145;29284.96;155966.907;22872.4;186259.82;24931.04;91064.252;3965.78;26479.596;57114.011;178623.64;7636.18;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;6;True;97.4;0.975693;210.56;202.05;5.65601;5.5;;98.3;0.984946;210.56;202.05;5.65601;5.6;;98.2;0.982967;265.27;272.75;4.4983;4.4;;98.2;0.982967;265.27;272.75;4.4983;4.4;;99.1;0.991104;258.7;254.38;5.218;5.2;;99.1;0.991104;258.7;254.38;5.218;5.2;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1710706;Itaguatins;100219.95;19377.41;88498.566;17111.09;82610.655;14240.76;22951.847;2905.003;9789.96;45035.836;80682.646;1928.009;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;7;True;100.0;1.0;186.07;173.75;4.674098;4.7;;100.0;1.0;186.07;173.75;4.674098;4.7;;100.0;1.0;247.09;252.11;3.933981;3.9;;100.0;1.0;247.09;252.11;3.933981;3.9;;100.0;1.0;226.17;231.85;4.300333;4.3;;99.7;0.997481;223.75;224.21;4.132667;4.1;;99.6;0.996463;222.54;220.39;4.048833;4.0;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1710904;Itapiratins;153089.941;42798.42;156514.464;43755.79;171522.114;44971.71;117488.88;3828.974;15556.197;31230.436;168104.487;3417.628;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;6;True;98.3;0.982607;197.81;191.79;5.226144;5.1;;98.3;0.982607;197.81;191.79;5.226144;5.1;;97.5;0.977755;258.03;251.53;4.07895;4.0;;97.5;0.977755;258.03;251.53;4.07895;4.0;;99.6;0.996463;236.17;227.1;4.387833;4.4;;99.6;0.996463;236.17;227.1;4.387833;4.4;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1711100;Itaporã do Tocantins;76489.293;31817.51;69210.741;28789.83;69980.106;29013.31;37273.628;1268.892;6744.024;21693.151;66979.696;3000.41;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;92.7;0.918816;194.32;188.29;5.095904;4.7;;92.7;0.918816;194.32;188.29;5.095904;4.7;;100.0;1.0;286.03;282.27;4.932388;4.9;;100.0;1.0;286.03;282.27;4.932388;4.9;;100.0;1.0;250.72;262.12;5.214;5.2;;100.0;1.0;250.72;262.12;5.214;5.2;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1711506;Jaú do Tocantins;110816.306;33238.24;95141.427;28536.72;97864.72;25054.97;46737.13;2378.72;11778.421;32832.387;93726.657;4138.063;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;4;True;97.2;0.974312;207.3;193.06;5.430341;5.3;;97.2;0.974312;207.3;193.06;5.430341;5.3;;93.1;0.933522;265.17;260.82;4.318303;4.0;;93.1;0.933522;265.17;260.82;4.318303;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1711803;Juarina;55559.934;24770.37;48217.594;21496.92;44394.941;20420.86;15719.214;1025.556;6186.516;20046.637;42977.923;1417.018;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;6;True;92.1;0.922905;187.54;179.39;4.804697;4.4;;92.1;0.922905;187.54;179.39;4.804697;4.4;;99.0;0.985597;257.53;263.14;4.24573;4.2;;99.0;0.985597;257.53;263.14;4.24573;4.2;;100.0;1.0;228.53;226.82;4.255833;4.3;;98.0;0.981605;228.53;226.82;4.255833;4.2;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1711902;Lagoa da Confusão;1089844.109;71287.55;941717.785;61598.49;998445.275;71373.6;507608.362;48546.411;259865.114;105985.022;922004.909;76440.366;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;7;True;96.7;0.964087;186.35;170.03;4.611805;4.4;;95.0;0.946698;186.35;170.03;4.611805;4.4;;84.1;0.843533;253.81;259.74;4.142585;3.5;;84.1;0.843533;253.81;259.74;4.142585;3.5;;87.4;0.876408;240.57;247.94;4.8085;4.2;;89.2;0.889632;230.5;233.64;4.402333;3.9;;90.4;0.902407;222.5;222.26;4.079333;3.7;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1711951;Lagoa do Tocantins;85969.979;24451.07;82842.604;23561.61;89428.78;20006.44;42219.107;1449.938;8510.577;35171.408;87351.031;2077.749;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;99.7;0.996759;175.23;161.34;4.241591;4.2;;99.7;0.996759;175.23;161.34;4.241591;4.2;;96.1;0.963916;253.17;249.01;3.972967;3.8;;96.1;0.963916;253.17;249.01;3.972967;3.8;;98.3;0.984586;242.07;236.05;4.635333;4.6;;97.6;0.977353;242.07;236.05;4.635333;4.5;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1712009;Lajeado;79405.004;23653.56;95998.522;28596.52;64404.783;20132.79;4020.343;5146.013;14247.483;37290.706;60704.545;3700.238;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Construção;6;True;100.0;1.0;203.98;188.6;5.285892;5.3;;100.0;1.0;203.98;188.6;5.285892;5.3;;100.0;1.0;255.53;274.32;4.385006;4.4;;100.0;1.0;255.53;274.32;4.385006;4.4;;100.0;1.0;233.29;236.71;4.5;4.5;;100.0;1.0;241.54;248.93;4.841167;4.8;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1712157;Lavandeira;41517.156;25533.31;35046.441;21553.78;37869.666;19087.53;14772.878;1063.475;3722.072;17535.532;37093.957;775.708;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;93.7;0.937811;194.59;189.77;5.127966;4.8;;93.7;0.937811;194.59;189.77;5.127966;4.8;;93.8;0.936966;267.21;287.93;4.752793;4.5;;93.8;0.936966;267.21;287.93;4.752793;4.5;;99.1;0.99389;245.15;247.87;4.883667;4.9;;99.2;0.99389;245.15;247.87;4.883667;4.9;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1712405;Lizarda;78341.052;26122.39;63168.968;21063.34;66331.66;17797.6;29042.125;1793.19;6446.629;27660.377;64942.321;1389.339;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;6;True;93.9;0.9395;194.44;179.8;4.943831;4.6;;94.8;0.948418;194.44;179.8;4.943831;4.7;;98.7;0.983471;258.57;242.29;3.948211;3.9;;98.7;0.983471;258.57;242.29;3.948211;3.9;;98.6;0.984738;211.33;203.6;3.582167;3.5;;97.6;0.972027;211.33;203.6;3.582167;3.5;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1712454;Luzinópolis;58820.081;21648.91;56666.384;20856.23;71179.561;22243.61;26177.286;1327.474;12742.318;26608.473;66855.551;4324.009;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Pecuária, inclusive apoio à pecuária;6;True;99.0;0.991094;214.76;205.35;5.796162;5.7;;99.0;0.991094;214.76;205.35;5.796162;5.7;;98.8;0.989949;263.5;241.32;4.002932;4.0;;98.8;0.989949;263.5;241.32;4.002932;4.0;;100.0;1.0;244.08;240.69;4.746167;4.7;;100.0;1.0;244.08;240.69;4.746167;4.7;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1712504;Marianópolis do Tocantins;373197.357;80866.17;336342.299;72880.24;252330.721;47323.84;159190.954;8165.168;32867.744;42584.564;242808.43;9522.291;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;6;True;97.8;0.973162;202.48;196.51;5.401084;5.3;;97.8;0.973162;202.48;196.51;5.401084;5.3;;96.1;0.962023;244.28;235.97;3.652898;3.5;;96.1;0.962023;244.28;235.97;3.652898;3.5;;100.0;1.0;238.16;236.38;4.575667;4.6;;96.6;0.964202;238.16;236.38;4.575667;4.4;;;;;;;;;;;;;;;;;;;;;;
