region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4
1;Norte;13;AM;Amazonas;1301308;Codajás;637712.807;27080.25;522890.697;22204.37;531995.467;17917.73;299133.383;18840.39;49137.809;155827.558;522939.14;9056.327;Produção florestal, pesca e aquicultura;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;7;True;89.4;0.900576;250.56;241.35;3.821639;3.4;;89.4;0.900576;250.56;241.35;3.821639;3.4;;;;;;;;;91.4;0.91392;196.65;179.4;4.978734;4.6;;91.1;0.912153;201.39;184.95;5.170101;4.7;;87.5;0.874702;239.63;246.31;4.765667;4.2;;90.4;0.902523;241.11;247.0;4.801833;4.3;;90.3;0.904543;207.47;192.07;5.415586;4.9;;;;;;;;
1;Norte;13;AM;Amazonas;1301407;Eirunepé;683640.161;20610.19;578742.455;17447.77;568036.066;15725.92;248976.216;20730.8;77824.586;204938.524;552470.126;15565.94;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Demais serviços;8;True;83.6;0.838793;250.55;253.72;4.006678;3.4;;81.1;0.813447;240.42;239.24;3.647637;3.0;;;;;;;;;96.8;0.969281;163.86;154.07;3.892425;3.8;;97.7;0.978105;178.56;168.96;4.443686;4.3;;89.5;0.892292;227.41;230.93;4.305667;3.8;;88.7;0.891796;227.41;230.93;4.305667;3.8;;99.5;0.994759;194.96;185.58;5.058845;5.0;;93.9;0.940782;281.79;298.39;5.114155;4.8;
1;Norte;13;AM;Amazonas;1301506;Envira;236123.505;13739.29;209889.247;12212.8;215526.707;10387.83;45372.45;9555.869;38933.805;114651.234;208513.357;7013.349;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;8;True;86.6;0.864331;237.43;248.48;3.743966;3.2;;86.6;0.864331;237.43;248.48;3.743966;3.2;;75.2;0.737763;192.54;196.64;3.153;2.3;;86.2;0.861119;153.98;144.58;3.53133;3.0;;90.6;0.904866;182.48;178.75;4.696495;4.2;;82.8;0.828192;226.18;229.8;4.266333;3.5;;93.0;0.929523;238.07;241.53;4.66;4.3;;98.6;0.987572;214.59;217.24;6.0091;5.9;;;;;;;;
1;Norte;13;AM;Amazonas;1301605;Fonte Boa;324328.59;12536.38;297891.453;11514.49;222773.426;13576.3;28885.012;14195.129;44171.787;127120.697;214372.624;8400.802;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura;8;True;89.3;0.900269;241.71;238.97;3.661713;3.3;;89.3;0.900269;241.71;238.97;3.661713;3.3;;76.1;0.757856;216.27;220.06;3.938833;3.0;;87.7;0.877982;164.58;156.91;3.957802;3.5;;88.8;0.889559;175.28;168.5;4.372727;3.9;;81.4;0.812706;229.38;227.75;4.2855;3.5;;92.4;0.923406;237.54;232.53;4.501167;4.2;;94.5;0.9479;205.48;201.22;5.543972;5.3;;;;;;;;
1;Norte;13;AM;Amazonas;1301654;Guajará;184646.312;13365.64;166381.42;12043.53;177320.17;10313.51;31779.368;7128.063;29219.907;105025.278;173152.616;4167.554;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;83.3;0.831983;231.06;229.83;3.375308;2.8;;83.3;0.831983;231.06;229.83;3.375308;2.8;;;;;;;;;90.0;0.905695;180.75;171.85;4.538026;4.1;;90.0;0.905695;180.75;171.85;4.538026;4.1;;91.8;0.919473;226.83;222.05;4.148;3.8;;91.8;0.919473;226.83;222.05;4.148;3.8;;;;;;;;;;;;;;;
1;Norte;13;AM;Amazonas;1301704;Humaitá;926065.113;16113.05;960741.496;16716.4;860167.548;15039.21;183792.968;77642.907;254810.706;283060.665;799307.246;60860.303;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura;8;True;86.8;0.870111;257.72;256.22;4.144806;3.6;;85.9;0.860861;255.48;253.45;4.071878;3.5;;95.7;0.957081;243.01;245.08;4.8015;4.6;;98.0;0.979615;208.11;198.66;5.547618;5.4;;97.9;0.979086;208.74;199.9;5.582186;5.5;;95.3;0.953168;243.66;244.75;4.806833;4.6;;94.2;0.941316;244.65;244.25;4.815;4.5;;97.5;0.972169;211.13;204.62;5.713615;5.6;;;;;;;;
1;Norte;13;AM;Amazonas;1301803;Ipixuna;247844.484;10194.75;214596.599;8827.14;216518.72;6945.94;16712.882;7758.212;32394.802;153568.936;210434.832;6083.888;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura;7;True;81.7;0.819463;232.17;229.8;3.390449;2.8;;81.7;0.819463;232.17;229.8;3.390449;2.8;;;;;;;;;86.4;0.868349;175.09;168.11;4.36201;3.8;;87.0;0.872373;179.58;171.45;4.508425;3.9;;86.9;0.878563;218.84;221.13;3.9995;3.5;;88.2;0.88334;218.84;221.13;3.9995;3.5;;92.1;0.90149;203.35;189.12;5.283323;4.8;;;;;;;;
1;Norte;13;AM;Amazonas;1301852;Iranduba;1263495.864;20657.85;1044311.832;17121.83;1001862.277;20150.9;303361.642;123195.761;211278.932;305723.038;943559.372;58302.905;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Demais serviços;7;True;86.1;0.862467;243.38;247.55;3.813611;3.3;;85.9;0.860358;243.38;247.55;3.813611;3.3;;88.7;0.886166;225.85;233.33;4.319667;3.8;;94.4;0.944117;193.41;189.86;5.107083;4.8;;94.9;0.949514;193.41;189.86;5.107083;4.8;;91.6;0.915702;232.29;240.84;4.552167;4.2;;98.4;0.984687;238.66;248.26;4.782;4.7;;;;;;;;;;;;;;;
1;Norte;13;AM;Amazonas;1301902;Itacoatiara;3321936.455;32065.64;2775137.65;26787.56;2350463.023;22590.61;465660.825;182494.037;926007.19;576311.301;2150473.352;199989.671;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;8;True;90.6;0.907073;251.26;252.32;3.995692;3.6;;90.3;0.904046;248.78;249.49;3.918496;3.5;;91.9;0.918714;228.54;228.24;4.279667;3.9;;97.4;0.973338;195.2;187.34;5.095425;5.0;;97.8;0.977608;214.14;204.32;5.765603;5.6;;94.5;0.945216;250.35;250.41;5.012667;4.7;;97.7;0.976468;258.39;258.59;5.283;5.2;;100.0;1.0;265.7;250.53;7.589754;7.6;;;;;;;;
1;Norte;13;AM;Amazonas;1301951;Itamarati;161776.815;14791.7;161303.702;14748.44;135619.961;17438.6;42943.84;6480.859;23316.661;59016.118;131757.478;3862.483;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;8;True;85.7;0.855118;332.64;287.52;5.665616;4.8;;85.7;0.855118;332.64;287.52;5.665616;4.8;;74.9;0.745828;200.88;193.46;3.239;2.4;;91.8;0.912803;207.34;190.49;5.384378;4.9;;91.4;0.91384;234.46;206.34;6.190117;5.7;;81.5;0.812175;231.51;234.03;4.425667;3.6;;92.2;0.919991;246.42;253.76;5.003;4.6;;89.1;0.905013;263.03;223.04;7.038982;6.4;;;;;;;;
1;Norte;13;AM;Amazonas;1302009;Itapiranga;196557.472;19342.4;173993.998;17122.02;152509.179;16377.7;40381.978;9291.059;31590.665;64053.782;145317.484;7191.696;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura;8;True;89.1;0.893074;263.72;263.13;4.332519;3.9;;89.1;0.893074;263.72;263.13;4.332519;3.9;;86.0;0.869856;234.71;240.13;4.580667;4.0;;91.9;0.914447;171.75;161.12;4.171179;3.8;;94.6;0.946491;188.43;178.79;4.810772;4.6;;93.2;0.935677;257.96;263.43;5.3565;5.0;;99.8;0.997481;267.21;272.7;5.665167;5.7;;99.5;0.995935;203.3;194.53;5.380733;5.4;;;;;;;;
1;Norte;13;AM;Amazonas;1302108;Japurá;145336.66;16407.39;127519.935;14396.02;85808.931;48893.98;16662.741;6035.535;21849.741;37323.42;81871.436;3937.495;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura;7;True;90.5;0.904326;270.1;243.63;4.130209;3.7;;90.5;0.904326;270.1;243.63;4.130209;3.7;;;;;;;;;84.9;0.845597;206.41;182.2;5.215902;4.4;;86.1;0.859075;214.4;189.97;5.509656;4.7;;75.4;0.748268;276.09;270.19;5.771333;4.3;;85.5;0.849868;261.38;276.17;5.625833;4.8;;96.7;0.978261;241.45;216.28;6.504241;6.4;;;;;;;;
1;Norte;13;AM;Amazonas;1302207;Juruá;147949.792;13773.02;130664.012;12163.84;138073.554;8910.85;21456.015;6747.498;20684.749;85089.409;133977.671;4095.883;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Demais serviços;7;True;87.7;0.874694;236.48;241.05;3.619395;3.2;;87.7;0.874694;236.48;241.05;3.619395;3.2;;;;;;;;;79.1;0.798146;172.22;165.15;4.253421;3.4;;82.0;0.815264;178.11;170.99;4.472008;3.6;;71.2;0.700552;230.97;224.72;4.2615;3.0;;90.0;0.896172;230.97;224.72;4.2615;3.8;;88.1;0.855363;186.08;178.91;4.768107;4.1;;;;;;;;
1;Norte;13;AM;Amazonas;1302306;Jutaí;394549.656;15674.15;351354.618;13958.15;266376.707;19787.31;77531.395;14841.714;52066.183;114027.223;258466.516;7910.192;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;8;True;72.0;0.727482;238.52;235.34;3.562568;2.6;;72.0;0.727482;238.52;235.34;3.562568;2.6;;77.6;0.781305;211.06;203.97;3.583833;2.8;;94.5;0.945503;166.94;157.86;4.020112;3.8;;94.6;0.946733;178.76;168.33;4.436049;4.2;;79.9;0.801528;222.82;221.39;4.070167;3.3;;88.3;0.877498;231.38;234.06;4.424;3.9;;95.5;0.954508;222.79;207.35;5.98577;5.7;;;;;;;;
