region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4
2;Nordeste;27;AL;Alagoas;2701407;Campo Alegre;884684.562;27555.12;669688.755;20858.68;734765.521;12669.03;150205.571;100780.896;149056.297;282074.311;682117.075;52648.446;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;87.1;0.876037;261.4;261.31;4.272689;3.7;;87.1;0.876037;261.4;261.31;4.272689;3.7;;100.0;1.0;271.31;231.33;7.347724;7.3;;100.0;1.0;271.31;231.33;7.347724;7.3;;100.0;1.0;293.55;272.19;6.095667;6.1;;100.0;1.0;293.55;272.19;6.095667;6.1;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2701506;Campo Grande;113469.687;13934.63;105162.664;12916.07;106141.611;11084.13;21789.035;5158.106;20726.974;55226.227;102900.343;3241.269;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;4;True;;;;;;;;;;;;;;;92.7;0.939738;259.57;247.65;7.420406;7.0;;92.7;0.939738;259.57;247.65;7.420406;7.0;;97.3;0.973077;268.39;252.9;5.354833;5.2;;97.3;0.973077;268.39;252.9;5.354833;5.2;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2701605;Canapi;235141.067;15292.73;204471.092;13141.66;166520.676;9399.98;21849.944;3587.989;39071.417;96165.058;160674.408;5846.268;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;100.0;1.0;259.07;249.97;4.070204;4.1;;100.0;1.0;259.07;249.97;4.070204;4.1;;99.5;0.994954;225.48;203.3;5.96347;5.9;;99.5;0.994954;225.48;203.3;5.96347;5.9;;99.9;0.999248;258.9;253.96;5.214333;5.2;;99.9;0.999248;258.9;253.96;5.214333;5.2;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2701704;Capela;250652.573;16916.55;233253.701;15517.14;248032.377;14670.4;72304.449;6885.346;61276.434;100668.962;241135.191;6897.186;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;94.4;0.948965;253.75;253.44;4.047431;3.8;;94.4;0.948965;253.75;253.44;4.047431;3.8;;99.5;0.995159;210.1;202.07;5.647595;5.6;;99.5;0.995159;210.1;202.07;5.647595;5.6;;93.3;0.934545;245.56;249.73;4.9215;4.6;;93.3;0.934545;245.56;249.73;4.9215;4.6;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2701803;Carneiros;97600.504;10845.71;87643.831;9739.29;90803.352;9490.32;10666.638;2510.502;19385.375;55952.129;88514.644;2288.708;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;93.8;0.937985;258.14;262.56;4.245615;4.0;;93.8;0.937985;258.14;262.56;4.245615;4.0;;99.4;0.994569;206.36;195.81;5.462402;5.4;;99.4;0.994569;206.36;195.81;5.462402;5.4;;99.7;0.997745;238.18;236.87;4.584167;4.6;;99.7;0.997745;238.18;236.87;4.584167;4.6;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2701902;Chã Preta;289693.121;49017.45;255386.15;43212.55;175488.923;24003.41;112885.696;2946.223;18270.464;39262.963;173365.346;2123.578;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;6;True;91.2;0.910592;249.29;255.83;4.020569;3.7;;91.2;0.910592;249.29;255.83;4.020569;3.7;;100.0;1.0;227.55;200.66;5.954974;6.0;;100.0;1.0;227.55;200.66;5.954974;6.0;;98.7;0.987683;261.69;248.2;5.164833;5.1;;98.7;0.987683;261.69;248.2;5.164833;5.1;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2702009;Coité do Nóia;234385.387;21682.27;199719.563;18475.45;211513.572;19965.41;110949.378;4126.215;32970.958;59690.333;207736.884;3776.688;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;92.2;0.933515;271.65;269.94;4.545841;4.2;;92.2;0.933515;271.65;269.94;4.545841;4.2;;100.0;1.0;243.2;221.09;6.625092;6.6;;100.0;1.0;243.2;221.09;6.625092;6.6;;100.0;1.0;251.51;252.51;5.067;5.1;;100.0;1.0;251.51;252.51;5.067;5.1;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2702108;Colônia Leopoldina;367108.963;23357.45;342422.597;21650.39;397415.249;18117.86;201315.797;18521.378;58211.817;108437.474;386486.466;10928.783;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;98.3;0.983949;255.11;246.52;3.962939;3.9;;98.3;0.983949;255.11;246.52;3.962939;3.9;;98.9;0.98967;243.68;219.37;6.60298;6.5;;98.9;0.98967;243.68;219.37;6.60298;6.5;;99.6;0.996739;262.34;229.38;4.862;4.8;;99.6;0.996739;262.34;229.38;4.862;4.8;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2702207;Coqueiro Seco;115661.504;20724.15;95555.564;17121.58;96055.729;16330.45;40852.055;2056.708;14383.11;37473.02;94764.893;1290.835;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Produção florestal, pesca e aquicultura;6;True;98.3;0.984537;251.77;263.0;4.162735;4.1;;98.3;0.984537;251.77;263.0;4.162735;4.1;;99.7;0.997577;235.49;215.03;6.367773;6.4;;99.7;0.997577;235.49;215.03;6.367773;6.4;;94.9;0.952377;232.86;238.01;4.5145;4.3;;94.9;0.952377;232.86;238.01;4.5145;4.3;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2702306;Coruripe;2400819.38;47622.08;1773231.491;35173.39;1782567.867;30922.13;618477.321;362660.727;344031.647;289728.273;1614897.968;167669.899;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;89.0;0.913322;268.69;266.61;4.454418;4.1;;90.7;0.930293;257.95;257.05;4.160461;3.9;;100.0;1.0;336.45;309.07;9.728545;9.7;;100.0;1.0;336.45;309.07;9.728545;9.7;;100.0;0.99975;388.81;335.4;8.736833;8.7;;100.0;0.99975;388.81;335.4;8.736833;8.7;;;;;;;;;;;;;;;;;;;;;;
