region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4
2;Nordeste;24;RN;Rio Grande do Norte;2412302;São José do Campestre;165229.86;14857.46;141196.03;12696.34;125089.897;9696.14;3716.995;5057.639;31291.76;79426.009;119492.403;5597.494;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;;;;;;;;;;;;;;;85.1;0.850349;210.07;206.55;3.610333;3.1;;88.9;0.888728;225.9;223.39;4.154833;3.7;;95.5;0.954973;186.86;177.04;4.748992;4.5;;95.3;0.946954;180.9;169.88;4.50507;4.3;;93.1;0.932677;240.52;238.95;4.657833;4.3;;95.8;0.96469;193.1;184.53;5.004258;4.8;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2412401;São José do Seridó;106548.284;23376.1;95605.549;20975.33;83853.885;17856.45;12665.693;10075.889;22956.813;30956.099;76654.494;7199.39;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;4;True;90.0;0.902426;268.96;272.03;4.539348;4.1;;90.0;0.902426;268.96;272.03;4.539348;4.1;;;;;;;;;;;;;;;;96.3;0.958825;206.35;190.72;5.369666;5.1;;96.3;0.958825;206.35;190.72;5.369666;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2412500;São Miguel;420063.646;17846.95;386805.121;16433.92;319739.86;13440.66;10348.367;8962.994;129481.526;137392.538;286185.425;33554.435;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;4;True;;;;;;;;;;;;;;;82.9;0.82727;252.47;249.99;5.041;4.2;;82.9;0.82727;252.47;249.99;5.041;4.2;;96.2;0.958863;212.69;210.38;5.848113;5.6;;96.2;0.958863;212.69;210.38;5.848113;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2412559;São Miguel do Gostoso;712098.273;69670.12;722955.05;70732.32;492637.037;47182.94;12443.558;310241.901;64906.188;77779.599;465371.246;27265.792;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;4;True;;;;;;;;;;;;;;;74.6;0.746951;246.92;253.84;5.012667;3.7;;74.6;0.746951;246.92;253.84;5.012667;3.7;;87.5;0.872279;204.85;202.59;5.556858;4.8;;87.5;0.872279;204.85;202.59;5.556858;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2412609;São Paulo do Potengi;290640.338;17314.45;273441.605;16289.86;231551.94;12966.29;6971.761;13377.349;86723.135;105893.928;212966.173;18585.767;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;5;True;83.4;0.848744;281.9;282.54;4.878425;4.1;;;;;;;;;;;;;;;;78.2;0.783305;225.18;232.55;4.2955;3.4;;94.0;0.938525;179.23;168.65;4.450836;4.2;;94.0;0.938525;179.23;168.65;4.450836;4.2;;88.0;0.876868;226.79;229.49;4.271333;3.7;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2412708;São Pedro;72504.348;12552.69;68282.583;11821.78;55799.443;9475.2;3587.68;2218.849;11931.647;36141.002;53879.178;1920.265;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;7;True;84.7;0.858103;253.3;250.05;3.990362;3.4;;84.7;0.858103;253.3;250.05;3.990362;3.4;;74.4;0.757314;221.66;224.12;4.096333;3.1;;76.5;0.768623;224.66;224.16;4.147;3.2;;89.8;0.901445;190.84;175.94;4.804947;4.3;;;;;;;;;79.0;0.795787;225.47;224.17;4.160667;3.3;;97.4;0.974656;180.79;176.82;4.629153;4.5;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2412807;São Rafael;108234.806;14036.42;97419.352;12633.82;88674.342;10836.41;13206.498;3755.401;20341.954;47204.49;84508.343;4165.999;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura;6;True;85.9;0.86452;267.43;283.33;4.687021;4.1;;85.9;0.86452;267.43;283.33;4.687021;4.1;;;;;;;;;71.6;0.724681;245.94;245.92;4.864333;3.5;;93.4;0.937086;186.74;191.72;5.013611;4.7;;93.4;0.937086;186.74;191.72;5.013611;4.7;;87.3;0.883013;240.53;241.59;4.702;4.2;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2412906;São Tomé;184856.372;18537.54;120593.5;12093.21;111773.156;10114.3;3311.4;4759.184;27293.5;69995.18;105359.263;6413.893;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;;;;;;;;;;;;;;;77.8;0.790091;228.35;231.48;4.3305;3.4;;81.4;0.826194;227.58;232.27;4.330833;3.6;;90.0;0.894173;176.89;165.83;4.354907;3.9;;89.6;0.88573;175.06;166.6;4.333983;3.8;;87.6;0.889208;226.55;233.31;4.331;3.9;;91.8;0.923333;186.72;161.71;4.467593;4.1;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2413003;São Vicente;100457.936;15920.43;90507.349;14343.48;76920.408;11877.77;6675.742;5155.003;18728.944;41503.678;72063.367;4857.041;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;7;True;72.3;0.712178;273.25;275.48;4.651247;3.3;;72.3;0.712178;273.25;275.48;4.651247;3.3;;83.0;0.833204;236.43;243.34;4.662833;3.9;;82.2;0.823363;240.47;247.07;4.792333;3.9;;98.6;0.985884;200.35;194.23;5.318981;5.2;;;;;;;;;80.6;0.797846;244.63;250.91;4.925667;3.9;;100.0;1.0;200.47;196.0;5.353452;5.4;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2413102;Senador Elói de Souza;79949.978;13767.86;73626.903;12343.15;60474.83;9806.2;2257.15;3011.16;13301.907;39694.09;58264.308;2210.523;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;6;True;69.9;0.720611;249.97;240.08;3.794341;2.7;;69.9;0.720611;249.97;240.08;3.794341;2.7;;71.3;0.694741;207.99;216.87;3.747667;2.6;;71.3;0.694741;207.99;216.87;3.747667;2.6;;88.7;0.885154;175.64;167.35;4.358688;3.9;;;;;;;;;;;;;;;;95.1;0.949819;192.23;179.11;4.88911;4.6;;;;;;;;;;;;;;;
