region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4
2;Nordeste;25;PB;Paraíba;2511509;Pilar;158900.966;12907.23;139093.773;11298.33;122046.864;10140.15;11479.581;5536.093;31635.014;67171.166;115821.853;6225.011;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;88.8;0.888073;264.18;260.46;4.299009;3.8;;88.8;0.888073;264.18;260.46;4.299009;3.8;;95.6;0.953741;188.67;182.98;4.891534;4.7;;94.4;0.939405;195.36;187.68;5.104661;4.8;;98.1;0.978665;233.23;232.63;4.431;4.3;;98.0;0.977037;233.23;232.63;4.431;4.3;;;;;;;;;100.0;1.0;172.54;171.65;4.37771;4.4;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2511608;Pilões;133896.434;19647.31;108635.551;15940.65;95608.755;14668.42;33290.52;4579.42;18296.657;35892.828;92059.425;3549.33;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;7;True;91.4;0.923708;253.25;255.19;4.066606;3.8;;91.4;0.923708;253.25;255.19;4.066606;3.8;;94.8;0.94936;202.46;181.0;5.118702;4.9;;94.8;0.94936;202.46;181.0;5.118702;4.9;;86.9;0.868386;232.89;237.33;4.503667;3.9;;92.2;0.922753;237.61;238.86;4.607833;4.3;;76.6;0.765183;226.26;235.17;4.357167;3.3;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2511707;Pilõezinhos;64515.534;12106.5;58975.258;11066.85;51324.387;10395.87;11725.112;2100.585;8650.564;27554.779;50031.04;1293.347;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;89.7;0.904106;272.05;275.77;4.638735;4.2;;89.7;0.904106;272.05;275.77;4.638735;4.2;;100.0;1.0;180.45;169.32;4.4863;4.5;;100.0;1.0;180.45;169.32;4.4863;4.5;;92.4;0.924916;239.93;241.29;4.687;4.3;;92.4;0.924916;239.93;241.29;4.687;4.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2511806;Pirpirituba;120990.462;12954.01;106136.201;11363.62;95326.544;9001.56;7507.208;4173.63;25327.093;54675.256;91683.187;3643.357;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;92.6;0.926652;258.86;257.76;4.183871;3.9;;92.6;0.926652;258.86;257.76;4.183871;3.9;;95.7;0.955283;178.54;167.77;4.421668;4.2;;95.7;0.955283;178.54;167.77;4.421668;4.2;;89.0;0.888277;214.5;218.29;3.879833;3.4;;;;;;;;;95.6;0.95649;218.66;222.51;4.0195;3.8;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2511905;Pitimbu;479171.698;28605.56;427279.64;25507.71;431303.626;22143.12;43314.093;113281.3;95871.54;117404.837;369871.77;61431.855;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação;4;True;76.0;0.766579;236.67;241.67;3.631345;2.8;;76.0;0.766579;236.67;241.67;3.631345;2.8;;97.9;0.979727;198.43;188.95;5.186339;5.1;;97.9;0.979727;198.43;188.95;5.186339;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2512002;Pocinhos;334111.865;19125.99;295224.444;16899.91;285030.661;15122.59;88950.729;18107.255;61197.234;105214.912;273470.129;11560.531;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;94.7;0.947925;255.13;258.95;4.149298;3.9;;94.7;0.947925;255.13;258.95;4.149298;3.9;;91.3;0.914301;201.94;185.97;5.199142;4.8;;91.3;0.914301;201.94;185.97;5.199142;4.8;;83.1;0.830393;234.23;238.09;4.538667;3.8;;83.1;0.830393;234.23;238.09;4.538667;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2512036;Poço Dantas;56713.3;14807.65;46463.977;12131.59;40317.935;10399.26;3273.977;1562.943;8438.126;25562.469;38837.515;1480.42;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;95.8;0.96112;265.94;285.32;4.695884;4.5;;95.8;0.96112;265.94;285.32;4.695884;4.5;;89.9;0.9012;240.77;234.74;6.8269;6.2;;89.9;0.9012;240.77;234.74;6.8269;6.2;;84.9;0.845572;257.43;258.27;5.261667;4.4;;84.9;0.845572;257.43;258.27;5.261667;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2512077;Poço de José de Moura;61655.267;15390.73;52955.053;13218.93;46932.259;10749.49;4511.453;1844.179;10146.387;28717.872;45219.891;1712.367;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;96.4;0.957308;268.49;270.02;4.502657;4.3;;96.4;0.957308;268.49;270.02;4.502657;4.3;;92.7;0.929881;210.54;206.72;5.740537;5.3;;92.7;0.929881;210.54;206.72;5.740537;5.3;;75.4;0.746631;245.71;247.54;4.8875;3.6;;75.4;0.746631;245.71;247.54;4.8875;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2512101;Pombal;594290.116;18301.05;514593.778;15846.82;466595.668;14224.18;27227.973;30333.502;191429.158;180836.433;429827.067;36768.601;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;97.7;0.977913;286.0;288.66;5.027626;4.9;;97.7;0.977913;286.0;288.66;5.027626;4.9;;99.9;0.998798;252.03;230.81;6.970331;7.0;;99.9;0.998798;252.03;230.81;6.970331;7.0;;98.1;0.980895;258.76;264.35;5.385167;5.3;;98.7;0.987886;265.29;270.47;5.596;5.5;;95.9;0.964585;247.77;254.06;5.0305;4.9;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2512200;Prata;83660.221;21369.15;65920.02;16837.81;64814.204;15196.77;16496.913;5498.125;13004.419;27727.425;62726.882;2087.322;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;7;True;85.3;0.856112;249.82;261.17;4.107953;3.5;;85.3;0.856112;249.82;261.17;4.107953;3.5;;98.5;0.984204;210.35;201.76;5.646729;5.6;;98.5;0.984204;210.35;201.76;5.646729;5.6;;86.4;0.864798;246.78;246.74;4.892;4.2;;84.5;0.858956;236.03;227.82;4.3975;3.8;;90.3;0.906825;255.11;261.39;5.275;4.8;;;;;;;;;;;;;;;;;;;;;;
