region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5
3;Sudeste;33;RJ;Rio de Janeiro;3304151;Quissamã;5669643.953;253188.23;8493476.156;379291.57;5996886.398;234849.67;33196.838;4343046.807;1194813.736;352484.306;5923541.687;73344.712;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;5;True;94.2;0.941968;250.91;253.63;5.075667;4.8;;;;;;;;;;;;;;;;81.9;0.829331;257.41;268.14;4.318895;3.6;;94.2;0.941968;250.91;253.63;5.075667;4.8;;;;;;;;;96.3;0.965353;226.85;213.91;6.182524;6.0;;96.3;0.965353;226.85;213.91;6.182524;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3304201;Resende;12267696.488;94649.39;11663533.743;89988.07;10754357.172;80711.76;60058.698;3265316.818;3575569.59;1201112.443;8102057.55;2652299.623;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;7;True;94.9;0.949469;258.23;261.08;5.321833;5.1;;82.9;0.832774;271.64;280.14;4.698395;3.9;;80.8;0.807178;251.45;251.75;5.053333;4.1;;83.1;0.834172;271.23;279.5;4.683056;3.9;;89.3;0.8936;255.42;257.21;5.2105;4.7;;;;;;;;;96.7;0.967749;230.18;219.17;6.34171;6.1;;96.7;0.967749;230.18;219.17;6.34171;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3304300;Rio Bonito;2038466.081;36222.65;1905833.208;33865.83;1831391.413;30057.3;30006.391;119708.215;898749.9;546259.372;1594723.878;236667.536;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;6;True;88.2;0.883761;240.78;251.29;4.867833;4.3;;85.3;0.853591;263.59;268.46;4.410483;3.8;;;;;;;;;85.3;0.853591;263.59;268.46;4.410483;3.8;;88.2;0.883761;240.78;251.29;4.867833;4.3;;;;;;;;;91.4;0.915876;213.09;206.38;5.783019;5.3;;91.4;0.915876;213.09;206.38;5.783019;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3304409;Rio Claro;577431.358;33183.8;558686.721;32106.59;435959.322;23342.04;56892.526;18294.036;106627.973;200234.636;382049.17;53910.152;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;93.6;0.938085;249.85;254.25;5.068333;4.8;;93.2;0.93488;271.38;281.4;4.713606;4.4;;;;;;;;;93.2;0.93488;271.38;281.4;4.713606;4.4;;93.6;0.938085;249.85;254.25;5.068333;4.8;;;;;;;;;96.6;0.964134;212.64;206.45;5.775704;5.6;;96.6;0.964134;212.64;206.45;5.775704;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3304508;Rio das Flores;338695.003;37826.11;325930.623;36400.56;294383.587;31314.07;18060.055;81192.079;61797.917;109023.374;270073.424;24310.163;Administração, defesa, educação e saúde públicas e seguridade social;Construção;Demais serviços;6;True;96.9;0.96442;258.61;256.98;5.259833;5.1;;88.3;0.899391;285.55;290.78;5.053042;4.5;;;;;;;;;88.3;0.899391;285.55;290.78;5.053042;4.5;;96.9;0.96442;258.61;256.98;5.259833;5.1;;;;;;;;;94.3;0.945196;236.93;221.42;6.511436;6.2;;94.3;0.945196;236.93;221.42;6.511436;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3304524;Rio das Ostras;10599897.907;67734.87;10916617.012;69758.75;8948996.273;56096.36;14233.596;4259838.757;2610549.8;1513778.902;8398401.055;550595.218;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;88.6;0.88591;261.72;270.05;5.5295;4.9;;83.1;0.835059;254.53;255.01;4.081889;3.4;;;;;;;;;83.1;0.835059;254.53;255.01;4.081889;3.4;;88.6;0.88591;261.72;270.05;5.5295;4.9;;;;;;;;;94.1;0.941158;232.8;225.0;6.49771;6.1;;94.1;0.941158;232.8;225.0;6.49771;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3304557;Rio de Janeiro;418462360.308;67371.97;380381515.097;61239.03;359632647.656;53077.91;111266.985;45685918.362;177540660.78;56970406.096;280308252.223;79324395.432;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;10;True;96.8;0.968443;258.42;262.82;5.354;5.2;;75.0;0.750721;251.91;256.16;4.062307;3.0;;92.8;0.927971;286.59;283.8;6.173167;5.7;;75.5;0.766941;255.84;259.48;4.167204;3.2;;96.7;0.96746;260.59;264.45;5.417333;5.2;;;;;;;;;98.4;0.984654;224.02;210.41;6.06488;6.0;;98.5;0.984849;223.61;209.99;6.049419;6.0;;;;;;;;;97.8;0.979575;223.61;216.0;6.158692;6.0;;94.7;0.947154;310.71;302.15;6.881;6.5;;97.6;0.976107;253.14;238.84;7.137514;7.0;
3;Sudeste;33;RJ;Rio de Janeiro;3304607;Santa Maria Madalena;275098.177;26886.06;267049.131;26099.41;234575.115;22598.76;25373.392;7959.296;61965.169;115158.652;210456.509;24118.607;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;4;True;88.2;0.872373;269.39;271.33;5.678667;5.0;;;;;;;;;;;;;;;;;;;;;;;88.2;0.872373;269.39;271.33;5.678667;5.0;;;;;;;;;83.4;0.844411;233.15;222.41;6.457298;5.5;;83.4;0.844411;233.15;222.41;6.457298;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3304706;Santo Antônio de Pádua;1686337.288;40806.71;1457558.943;35270.63;1284632.206;30081.54;56172.801;259722.249;483614.311;344484.905;1143994.266;140637.94;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;8;True;92.5;0.926134;260.32;262.03;5.3725;5.0;;95.5;0.95478;284.7;285.76;4.965954;4.7;;100.0;1.0;273.58;286.85;6.007167;6.0;;95.5;0.954726;290.53;291.5;5.133764;4.9;;93.2;0.932512;261.26;263.8;5.417667;5.1;;95.2;0.953933;318.55;319.1;5.940477;5.7;;94.3;0.943135;228.78;216.52;6.266811;5.9;;94.3;0.943135;228.78;216.52;6.266811;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3304755;São Francisco de Itabapoana;1481367.364;32876.17;1305145.531;28965.26;1184513.238;28059.73;283618.701;47880.278;269086.372;387399.9;987985.252;196527.986;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;86.7;0.869016;240.66;242.04;4.711667;4.1;;83.6;0.838991;266.42;272.31;4.507865;3.8;;;;;;;;;83.6;0.838991;266.42;272.31;4.507865;3.8;;86.7;0.869016;240.66;242.04;4.711667;4.1;;;;;;;;;85.7;0.856512;208.83;199.81;5.582267;4.8;;85.7;0.856512;208.83;199.81;5.582267;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
