region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5
4;Sul;41;PR;Paraná;4101002;Ampére;1001174.451;51028.26;814702.33;41524.07;750363.843;38547.41;137752.589;169445.868;256768.323;96991.134;660957.914;89405.929;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;6;True;97.0;0.972751;282.04;287.72;4.957936;4.8;;97.0;0.972751;282.04;287.72;4.957936;4.8;;99.7;0.996736;285.35;283.12;6.141167;6.1;;99.7;0.996736;285.35;283.12;6.141167;6.1;;99.2;0.991772;251.13;227.55;6.893883;6.8;;99.2;0.991772;251.13;227.55;6.893883;6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4101051;Anahy;124322.819;42605.49;110971.656;38030.04;115042.263;41471.62;54504.608;3389.48;29340.603;20354.38;107589.071;7453.192;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;6;True;98.3;0.985222;273.25;271.02;4.584481;4.5;;98.3;0.985222;273.25;271.02;4.584481;4.5;;100.0;1.0;256.48;258.14;5.243667;5.2;;100.0;1.0;256.48;258.14;5.243667;5.2;;100.0;1.0;224.58;194.58;5.787749;5.8;;100.0;1.0;224.58;194.58;5.787749;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4101101;Andirá;861172.558;43322.9;842323.786;42374.67;816503.278;41189.69;119514.232;144801.944;351229.269;104426.643;719972.088;96531.19;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;6;True;99.4;0.99118;273.74;281.68;4.750944;4.7;;99.4;0.99118;273.74;281.68;4.750944;4.7;;100.0;1.0;273.37;276.87;5.837333;5.8;;100.0;1.0;273.37;276.87;5.837333;5.8;;99.4;0.993904;249.25;228.69;6.878732;6.8;;99.4;0.993904;249.25;228.69;6.878732;6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4101150;Ângulo;179777.974;55572.79;170201.886;52612.64;154196.936;52608.99;77282.452;4288.946;41445.919;21024.758;144042.075;10154.861;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;0;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4101200;Antonina;1001674.868;55368.68;948884.484;52450.64;700870.923;37045.88;18046.35;170095.971;325313.592;106685.553;620141.466;80729.457;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;6;True;95.2;0.964589;277.39;286.01;4.867028;4.7;;95.2;0.964589;277.39;286.01;4.867028;4.7;;96.2;0.966246;257.76;255.82;5.226333;5.0;;96.2;0.966246;257.76;255.82;5.226333;5.0;;91.6;0.914021;211.48;202.37;5.679385;5.2;;91.6;0.914021;211.48;202.37;5.679385;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4101309;Antônio Olinto;282610.628;40269.4;244883.509;34893.63;233345.083;31443.89;138049.116;9553.436;39589.832;36418.975;223611.359;9733.725;Agricultura, inclusive apoio à agricultura e a pós colheita;Produção florestal, pesca e aquicultura;Administração, defesa, educação e saúde públicas e seguridade social;6;True;92.3;0.926208;291.28;281.92;5.000885;4.6;;92.3;0.926208;291.28;281.92;5.000885;4.6;;96.7;0.968163;282.45;276.92;5.9895;5.8;;96.7;0.968163;282.45;276.92;5.9895;5.8;;96.0;0.959442;253.6;241.26;7.190293;6.9;;96.0;0.959442;253.6;241.26;7.190293;6.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4101408;Apucarana;4834012.856;37146.42;4312220.602;33136.77;3874079.812;28187.84;281831.223;834984.803;1691674.371;647972.165;3456462.563;417617.249;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;6;True;92.9;0.946631;285.94;295.79;5.133519;4.9;;92.9;0.946631;285.94;295.79;5.133519;4.9;;96.7;0.966655;274.29;273.26;5.7925;5.6;;96.7;0.966655;274.29;273.26;5.7925;5.6;;100.0;0.9998;267.24;249.96;7.60878;7.6;;100.0;0.9998;267.24;249.96;7.60878;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4101507;Arapongas;5715471.043;47973.54;5102660.251;42829.83;4953988.715;39148.04;373977.951;1385051.612;1960137.848;598774.591;4317942.002;636046.713;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;6;True;96.4;0.972872;283.33;292.17;5.042671;4.9;;96.4;0.972872;283.33;292.17;5.042671;4.9;;98.5;0.983424;270.45;271.16;5.6935;5.6;;98.5;0.983424;270.45;271.16;5.6935;5.6;;99.3;0.993372;258.34;240.29;7.263115;7.2;;99.3;0.993372;258.34;240.29;7.263115;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4101606;Arapoti;1632919.107;63347.91;1676469.671;65037.42;1447430.59;50822.7;395494.032;248709.013;468196.244;141542.407;1253941.696;193488.894;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;6;True;98.8;0.99168;279.95;286.93;4.916756;4.9;;98.8;0.99168;279.95;286.93;4.916756;4.9;;99.3;0.992467;270.25;268.15;5.64;5.6;;99.3;0.992467;270.25;268.15;5.64;5.6;;97.1;0.971657;241.82;225.38;6.676756;6.5;;97.1;0.971657;241.82;225.38;6.676756;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4101655;Arapuã;154285.064;43743.99;133536.121;37861.11;152145.582;51557.3;84019.096;5072.71;33561.654;21175.776;143829.237;8316.345;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;4;True;;;;;;;;;;;;;;;100.0;1.0;262.17;253.53;5.261667;5.3;;100.0;1.0;262.17;253.53;5.261667;5.3;;95.4;0.955339;216.23;199.16;5.71167;5.5;;95.4;0.955339;216.23;199.16;5.71167;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4101705;Araruna;630796.431;43548.25;471911.027;32579.29;547353.084;39015.83;177026.51;116101.427;131751.939;74333.104;499212.981;48140.103;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Indústrias de transformação;6;True;99.6;0.995992;282.71;281.29;4.871088;4.9;;99.6;0.995992;282.71;281.29;4.871088;4.9;;100.0;1.0;267.77;268.31;5.601333;5.6;;100.0;1.0;267.77;268.31;5.601333;5.6;;95.3;0.953957;243.68;229.18;6.781344;6.5;;95.3;0.953957;243.68;229.18;6.781344;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
