region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4
3;Sudeste;31;MG;Minas Gerais;3142908;Monte Azul;325957.625;16034.91;281700.244;13857.75;256072.177;12464.57;20745.124;10953.774;109337.687;100017.77;241054.355;15017.822;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;99.2;0.991987;266.23;260.72;4.331694;4.3;;99.2;0.991987;266.23;260.72;4.331694;4.3;;99.8;0.998493;246.06;245.8;4.864333;4.9;;99.9;0.998745;246.06;245.8;4.864333;4.9;;;;;;;;;100.0;1.0;224.28;209.95;6.061478;6.1;;;;;;;;;100.0;1.0;224.28;209.95;6.061478;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3143005;Monte Belo;486080.874;37259.0;403025.065;30892.62;366218.446;27872.63;81143.54;42783.197;137062.471;64271.725;325260.933;40957.513;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;6;True;84.1;0.834313;279.76;282.27;4.844327;4.0;;84.1;0.834313;279.76;282.27;4.844327;4.0;;89.1;0.892703;257.29;266.19;5.391333;4.8;;89.1;0.892703;257.29;266.19;5.391333;4.8;;99.8;0.998592;223.39;214.75;6.131766;6.1;;99.8;0.998592;223.39;214.75;6.131766;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3143104;Monte Carmelo;1957160.563;41037.5;2116369.046;44378.56;1559201.81;32450.24;392909.114;88506.827;679458.309;241886.543;1402760.793;156441.017;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;8;True;88.4;0.884201;281.36;291.47;5.004523;4.4;;88.4;0.884201;281.36;291.47;5.004523;4.4;;97.3;0.973074;262.01;263.78;5.429833;5.3;;97.1;0.970885;261.08;262.28;5.389333;5.2;;100.0;1.0;235.44;218.01;6.421001;6.4;;100.0;0.999599;238.93;227.65;6.662876;6.7;;96.4;0.964695;255.2;252.78;5.133;5.0;;99.9;0.999399;239.91;230.35;6.73067;6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3143153;Monte Formoso;52678.142;12024.23;45536.678;10394.13;44092.997;8927.52;4634.043;806.939;10200.358;27232.628;42873.968;1219.029;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;83.7;0.841331;259.58;268.17;4.349822;3.7;;83.7;0.841331;259.58;268.17;4.349822;3.7;;93.5;0.933376;232.97;225.6;4.3095;4.0;;93.5;0.933376;232.97;225.6;4.3095;4.0;;99.6;0.995521;226.85;212.71;6.160706;6.1;;99.6;0.995521;226.85;212.71;6.160706;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3143203;Monte Santo de Minas;632534.984;30279.32;627072.163;30017.82;483171.922;22468.93;115704.171;33124.572;193144.035;108281.532;450254.31;32917.612;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;93.8;0.938762;268.73;280.14;4.657525;4.4;;93.8;0.938762;268.73;280.14;4.657525;4.4;;93.5;0.935081;254.14;257.55;5.194833;4.9;;93.5;0.935081;254.14;257.55;5.194833;4.9;;99.8;0.998195;224.98;213.62;6.141564;6.1;;99.8;0.998195;224.98;213.62;6.141564;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3143302;Montes Claros;13326238.602;32170.33;12351982.916;29818.42;10799485.803;25868.39;156030.836;1961020.907;5465743.037;1879776.235;9462571.015;1336914.788;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;8;True;88.0;0.886229;272.28;280.56;4.713672;4.2;;88.2;0.887906;272.28;280.56;4.713672;4.2;;93.8;0.938721;252.43;259.52;5.199167;4.9;;95.8;0.958234;253.09;259.03;5.202;5.0;;99.9;0.999199;235.78;221.25;6.486398;6.5;;99.8;0.997799;234.76;223.99;6.516751;6.5;;99.2;0.992249;254.23;258.17;5.206667;5.2;;99.7;0.996795;233.86;226.44;6.544121;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3143401;Monte Sião;723677.875;30041.84;657402.322;27290.56;605891.629;24988.31;41811.75;94850.608;271750.831;127707.859;536121.048;69770.581;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;4;True;;;;;;;;;;;;;;;;;;;;;;91.4;0.906801;260.46;255.13;5.259833;4.8;;99.9;0.999197;239.76;223.29;6.599443;6.6;;99.9;0.999197;239.76;223.29;6.599443;6.6;;91.4;0.906801;260.46;255.13;5.259833;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3143450;Montezuma;104692.052;15199.19;86876.854;12612.78;91045.991;10865.97;21063.115;2486.792;21333.029;43892.763;88775.699;2270.291;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura;6;True;92.0;0.909605;267.62;278.35;4.615138;4.2;;92.0;0.909605;267.62;278.35;4.615138;4.2;;93.8;0.936016;253.81;254.79;5.143333;4.8;;93.8;0.936016;253.81;254.79;5.143333;4.8;;100.0;1.0;233.63;218.1;6.388095;6.4;;100.0;1.0;233.63;218.1;6.388095;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3143500;Morada Nova de Minas;570682.925;62940.66;481820.883;53145.92;541501.521;60469.18;334820.152;28917.377;99991.352;57055.179;520784.06;20717.461;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Produção florestal, pesca e aquicultura;7;True;90.1;0.903569;279.67;278.73;4.790068;4.3;;90.1;0.903569;279.67;278.73;4.790068;4.3;;95.1;0.947617;277.87;279.97;5.964;5.7;;87.5;0.875759;252.94;256.4;5.155667;4.5;;99.8;0.997984;236.5;217.77;6.436866;6.4;;99.8;0.997984;236.5;217.77;6.436866;6.4;;85.2;0.853099;243.1;247.11;4.836833;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3143609;Morro da Garça;62850.192;26068.1;54493.315;22601.96;51051.917;21157.03;19694.126;1424.356;9344.656;19157.664;49620.802;1431.115;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;6;True;85.6;0.844747;283.9;277.31;4.828221;4.1;;85.6;0.844747;283.9;277.31;4.828221;4.1;;;;;;;;;92.3;0.922185;242.69;238.87;4.692667;4.3;;97.9;0.981067;214.32;200.67;5.702675;5.6;;97.9;0.981067;214.32;200.67;5.702675;5.6;;92.3;0.922185;242.69;238.87;4.692667;4.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
