region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4
3;Sudeste;32;ES;Espírito Santo;3201159;Brejetuba;342657.68;26388.73;491754.125;37870.94;294748.857;23674.61;128968.5;19827.877;66139.794;66767.679;281703.85;13045.008;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;98.6;0.986161;271.98;274.11;5.768167;5.7;;98.1;0.981525;242.75;230.31;6.784141;6.7;;98.4;0.984484;242.75;230.31;6.784141;6.7;;97.6;0.978938;284.95;288.04;5.003597;4.9;;97.6;0.978938;284.95;288.04;5.003597;4.9;;;;;;;;;;;;;;;;98.8;0.988181;271.98;274.11;5.768167;5.7;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3201209;Cachoeiro de Itapemirim;7593554.334;40872.59;6282575.274;33816.56;6146964.834;28971.61;80565.191;1531964.991;2727955.766;1000413.851;5340899.798;806065.036;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;8;True;97.3;0.972694;263.86;262.03;5.4315;5.3;;95.0;0.950187;227.24;216.8;6.242512;5.9;;95.1;0.951068;227.28;216.79;6.243094;5.9;;96.1;0.967839;294.56;292.79;5.209677;5.0;;96.3;0.965506;286.05;286.46;4.995394;4.8;;84.6;0.85066;257.42;266.04;5.391;4.6;;97.1;0.971218;228.48;216.29;6.256904;6.1;;92.9;0.929627;261.98;263.2;5.419667;5.0;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3201308;Cariacica;19710842.61;55760.52;14637850.578;41407.18;13698898.983;35443.92;20821.459;1673109.587;5874895.229;1581488.277;9150314.552;4548584.431;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;8;True;98.4;0.983731;249.45;251.64;5.018167;4.9;;97.6;0.975664;215.87;206.14;5.831709;5.7;;97.7;0.977094;216.12;206.43;5.841753;5.7;;96.5;0.974664;271.75;277.25;4.656677;4.5;;96.6;0.975958;266.58;273.29;4.524783;4.4;;91.9;0.921602;243.22;246.43;4.8275;4.4;;99.8;0.994437;219.12;209.8;5.960278;5.9;;94.7;0.947232;246.47;249.15;4.927;4.7;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3201407;Castelo;1395637.924;37791.44;1300851.106;35224.78;1170583.934;30840.55;112137.411;279117.427;421756.878;198043.097;1011054.814;159529.12;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;7;True;96.4;0.973299;277.72;271.25;5.816167;5.7;;96.0;0.961098;235.59;228.9;6.621863;6.4;;96.0;0.961098;235.59;228.9;6.621863;6.4;;93.0;0.931267;293.76;288.63;5.136165;4.8;;93.0;0.931267;293.76;288.63;5.136165;4.8;;90.3;0.906707;266.18;268.58;5.579333;5.1;;;;;;;;;90.9;0.911306;269.41;269.33;5.645667;5.1;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3201506;Colatina;5157944.636;42971.05;4427118.552;36895.11;4378290.192;35228.39;127942.893;1130283.05;1964294.275;657832.221;3880352.439;497937.753;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;8;True;99.3;0.992241;262.32;270.89;5.5535;5.5;;97.6;0.976475;227.34;221.33;6.326784;6.2;;97.7;0.977695;228.12;221.83;6.350761;6.2;;94.9;0.954913;285.68;287.15;5.000526;4.8;;98.0;0.981201;285.68;287.15;5.000526;4.9;;93.0;0.930738;260.02;261.18;5.353333;5.0;;100.0;1.0;243.52;231.77;6.825381;6.8;;94.0;0.940295;260.69;263.99;5.411333;5.1;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3201605;Conceição da Barra;676074.457;24622.13;609139.25;22184.4;607064.319;19284.74;103950.844;91797.693;177039.948;178808.634;551597.119;55467.2;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;8;True;97.6;0.976007;263.23;258.4;5.3605;5.2;;97.3;0.972354;226.08;217.52;6.233466;6.1;;97.7;0.977104;229.25;221.97;6.374871;6.2;;98.9;0.990643;272.89;273.0;4.609065;4.6;;98.9;0.990643;272.89;273.0;4.609065;4.6;;91.5;0.917591;257.18;259.22;5.273333;4.8;;99.7;0.997984;241.06;238.56;6.901889;6.9;;93.0;0.932183;258.84;258.99;5.297167;4.9;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3201704;Conceição do Castelo;356678.843;29880.11;328816.857;27546.02;279074.054;21655.47;59572.226;26593.867;101683.197;68410.253;256259.542;22814.512;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;96.2;0.961323;271.98;263.42;5.59;5.4;;98.7;0.987157;248.26;237.8;7.025475;6.9;;98.7;0.987157;248.26;237.8;7.025475;6.9;;93.0;0.939424;306.73;297.16;5.446023;5.1;;93.0;0.939424;306.73;297.16;5.446023;5.1;;;;;;;;;;;;;;;;96.2;0.961323;271.98;263.42;5.59;5.4;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3201803;Divino de São Lourenço;101957.606;20058.55;98082.078;19296.1;82577.364;19494.18;27969.516;5004.985;18413.791;27877.369;79265.661;3311.703;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;98.9;0.988364;274.57;288.09;6.044333;6.0;;98.3;0.982594;225.23;214.71;6.166153;6.1;;98.3;0.982594;225.23;214.71;6.166153;6.1;;100.0;1.0;284.6;278.13;4.850328;4.9;;100.0;1.0;284.6;278.13;4.850328;4.9;;;;;;;;;;;;;;;;96.3;0.961163;274.57;288.09;6.044333;5.8;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3201902;Domingos Martins;1294973.94;36564.66;1104696.858;31192.03;957718.297;28069.12;172884.295;149378.538;388190.985;172279.008;882732.825;74985.472;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;8;True;97.5;0.974128;290.68;282.78;6.224333;6.1;;98.4;0.984249;244.05;232.09;6.841314;6.7;;98.4;0.984451;247.28;236.14;6.976591;6.9;;98.3;0.982986;316.03;309.12;5.755683;5.7;;98.3;0.982986;316.03;309.12;5.755683;5.7;;95.2;0.952604;280.48;273.64;5.902;5.6;;98.7;0.986455;255.1;245.95;7.304192;7.2;;95.8;0.957929;286.7;279.21;6.0985;5.8;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3202009;Dores do Rio Preto;232277.998;35214.98;186331.9;28249.23;159783.6;23521.8;36571.141;17224.48;54085.533;39154.181;147035.335;12748.265;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;99.8;0.997988;270.6;270.17;5.6795;5.7;;100.0;1.0;230.94;215.7;6.293123;6.3;;100.0;1.0;230.94;215.7;6.293123;6.3;;96.9;0.974975;300.73;288.3;5.229118;5.1;;96.9;0.974975;300.73;288.3;5.229118;5.1;;;;;;;;;;;;;;;;99.8;0.997988;270.6;270.17;5.6795;5.7;;;;;;;;
