region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5
2;Nordeste;21;MA;Maranhão;2108702;Pio XII;269344.518;12306.7;242199.361;11066.41;191327.123;8993.47;22774.263;9138.778;57198.141;90274.365;179385.547;11941.576;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;97.3;0.974492;191.99;182.05;4.937984;4.8;;97.3;0.974492;191.99;182.05;4.937984;4.8;;89.0;0.888896;249.29;254.75;4.004401;3.6;;89.0;0.888896;249.29;254.75;4.004401;3.6;;89.4;0.893429;232.51;240.59;4.551667;4.1;;89.4;0.893429;232.51;240.59;4.551667;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2108801;Pirapemas;185469.491;10470.22;156608.822;8840.96;130764.31;6950.37;11326.651;4388.786;29722.19;80203.794;125641.422;5122.888;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;97.1;0.972263;179.76;172.2;4.525496;4.4;;97.1;0.972263;179.76;172.2;4.525496;4.4;;90.6;0.907761;240.47;243.77;3.716153;3.4;;90.6;0.907761;240.47;243.77;3.716153;3.4;;90.8;0.902679;225.14;227.19;4.2055;3.8;;90.8;0.902679;225.14;227.19;4.2055;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2108900;Poção de Pedras;221326.724;12897.08;181008.383;10547.66;163076.031;9414.93;30666.101;4367.658;46813.134;73917.997;155764.89;7311.141;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;100.0;1.0;228.85;213.85;6.219601;6.2;;100.0;1.0;228.85;213.85;6.219601;6.2;;98.5;0.983445;259.86;255.06;4.157497;4.1;;97.6;0.975787;259.86;255.06;4.157497;4.1;;99.9;0.998997;267.38;261.61;5.483167;5.5;;99.9;0.998997;267.38;261.61;5.483167;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2109007;Porto Franco;1252850.199;52413.93;1127831.528;47183.68;1026076.447;42235.8;57602.21;403828.846;307425.899;109300.261;878157.216;147919.231;Indústrias de transformação;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;99.9;0.998996;239.68;227.08;6.666826;6.7;;99.9;0.998996;239.68;227.08;6.666826;6.7;;85.9;0.864483;258.46;260.54;4.21987;3.6;;85.2;0.856406;254.39;257.38;4.115402;3.5;;99.0;0.989687;257.16;260.49;5.294167;5.2;;99.0;0.989687;257.16;260.49;5.294167;5.2;;;;;;;;;;;;;;;;90.5;0.90161;293.89;288.09;5.129907;4.6;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2109056;Porto Rico do Maranhão;63769.406;10710.35;56998.715;9573.18;45855.701;7725.02;8347.574;1649.647;9027.828;25064.643;44089.692;1766.009;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura;6;True;99.0;0.989314;182.4;171.18;4.557332;4.5;;99.0;0.989314;182.4;171.18;4.557332;4.5;;97.3;0.973266;261.49;253.32;4.154342;4.0;;97.3;0.973266;261.49;253.32;4.154342;4.0;;93.1;0.929594;227.03;234.24;4.3545;4.0;;93.1;0.929594;227.03;234.24;4.3545;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2109106;Presidente Dutra;990072.543;21926.09;907199.388;20090.78;755699.287;15657.62;36345.353;33511.242;405614.114;176243.028;651713.736;103985.551;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;7;True;96.2;0.962984;192.03;182.36;4.944384;4.8;;96.2;0.962984;192.03;182.36;4.944384;4.8;;95.3;0.955692;266.52;273.8;4.531575;4.3;;95.4;0.956025;266.22;272.98;4.515086;4.3;;89.8;0.898685;246.82;253.41;5.003833;4.5;;89.8;0.898685;246.82;253.41;5.003833;4.5;;;;;;;;;;;;;;;;95.1;0.952262;269.06;280.64;4.669644;4.4;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2109205;Presidente Juscelino;102457.802;9022.35;96643.761;8510.37;84478.884;6529.01;17923.837;2359.215;13179.495;49140.631;82603.177;1875.707;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;96.4;0.96316;193.26;185.69;5.028402;4.8;;96.4;0.96316;193.26;185.69;5.028402;4.8;;94.1;0.947276;244.72;239.55;3.712671;3.5;;94.1;0.947276;244.72;239.55;3.712671;3.5;;85.7;0.850979;245.0;250.48;4.924667;4.2;;85.7;0.850979;245.0;250.48;4.924667;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2109239;Presidente Médici;74488.448;15862.11;70166.86;14941.84;60682.46;8518.03;15295.464;1599.981;12507.63;28859.505;58262.58;2419.88;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;6;True;98.3;0.982928;208.29;194.42;5.473962;5.4;;98.3;0.982928;208.29;194.42;5.473962;5.4;;96.5;0.954989;244.84;230.66;3.581272;3.4;;95.0;0.948907;244.84;230.66;3.581272;3.4;;95.3;0.951548;242.26;241.87;4.7355;4.5;;95.3;0.951548;242.26;241.87;4.7355;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2109270;Presidente Sarney;186042.934;10624.35;179657.227;10283.76;164968.075;8584.49;34967.364;4935.708;28532.662;92899.967;161335.7;3632.375;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;100.0;1.0;186.68;190.01;4.981375;5.0;;100.0;1.0;186.68;190.01;4.981375;5.0;;80.4;0.808604;234.05;234.93;3.493649;2.8;;80.4;0.808604;234.05;234.93;3.493649;2.8;;99.4;0.993732;226.89;234.15;4.350667;4.3;;99.4;0.993732;226.89;234.15;4.350667;4.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2109304;Presidente Vargas;108884.158;10321.75;93347.495;8891.93;76166.221;6723.71;5040.965;2032.232;14779.297;51452.481;73304.975;2861.246;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;96.9;0.968755;183.44;175.28;4.651725;4.5;;96.9;0.968755;183.44;175.28;4.651725;4.5;;93.5;0.936017;239.33;244.47;3.710621;3.5;;93.5;0.936017;239.33;244.47;3.710621;3.5;;91.1;0.909882;228.29;240.23;4.475333;4.1;;91.1;0.909882;228.29;240.23;4.475333;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
