region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5
3;Sudeste;35;SP;São Paulo;3553856;Taquarivaí;433013.79;62974.66;453976.28;66023.31;367323.698;61548.88;122948.156;16843.793;157444.137;35426.188;332662.275;34661.424;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;6;True;93.5;0.937528;268.05;272.78;4.537794;4.3;;93.5;0.937528;268.05;272.78;4.537794;4.3;;98.7;0.987063;265.91;270.91;5.613667;5.5;;;;;;;;;98.6;0.986144;236.94;217.28;6.436354;6.3;;98.6;0.986144;236.94;217.28;6.436354;6.3;;98.7;0.987063;265.91;270.91;5.613667;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3553906;Tarabai;187170.91;28636.92;170112.935;26027.07;168350.324;22125.16;16002.304;14259.364;60792.112;42013.462;133067.241;35283.083;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;6;True;91.9;0.919532;262.07;269.85;4.409943;4.1;;91.9;0.919532;262.07;269.85;4.409943;4.1;;99.2;0.992938;269.05;261.36;5.506833;5.5;;;;;;;;;99.3;0.99312;242.5;226.6;6.711915;6.7;;99.3;0.99312;242.5;226.6;6.711915;6.7;;99.2;0.992938;269.05;261.36;5.506833;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3553955;Tarumã;1153082.93;77481.72;918710.468;61733.0;897036.192;58396.99;56414.134;342396.588;316519.163;77491.177;792821.062;104215.13;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;91.8;0.918525;258.85;271.48;4.38912;4.0;;91.8;0.918525;258.85;271.48;4.38912;4.0;;98.3;0.982724;258.25;257.45;5.261667;5.2;;98.3;0.982724;258.25;257.45;5.261667;5.2;;100.0;1.0;272.85;251.28;7.739841;7.7;;100.0;1.0;272.85;251.28;7.739841;7.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3554003;Tatuí;6784534.581;54739.59;5978311.904;48234.75;5076192.938;40892.85;154857.403;1324244.268;2439454.528;526084.162;4444640.36;631552.579;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;7;True;92.6;0.926859;272.39;281.81;4.733929;4.4;;92.6;0.926859;272.39;281.81;4.733929;4.4;;97.1;0.970415;257.55;261.47;5.317;5.2;;97.4;0.973348;259.16;262.87;5.367167;5.2;;99.4;0.993786;227.06;215.93;6.223259;6.2;;99.4;0.993786;227.06;215.93;6.223259;6.2;;96.5;0.964894;254.43;258.76;5.219833;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3554102;Taubaté;22607800.468;72754.95;18462529.003;59414.91;16199985.933;50495.56;29195.862;4619437.11;7062455.685;1494813.013;13205901.67;2994084.263;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;8;True;93.1;0.933735;271.84;280.94;4.71318;4.4;;93.5;0.937738;273.76;282.3;4.760506;4.5;;98.4;0.983966;256.01;258.49;5.241667;5.2;;98.6;0.984932;281.8;282.72;6.075333;6.0;;99.2;0.992593;225.58;212.98;6.141378;6.1;;99.2;0.992593;225.58;212.98;6.141378;6.1;;98.4;0.983714;255.71;258.21;5.232;5.1;;;;;;;;;;;;;;;;99.7;0.9965;287.52;292.04;5.099573;5.1;;;;;;;;
3;Sudeste;35;SP;São Paulo;3554201;Tejupá;341127.352;82657.46;124784.075;30236.02;138116.334;31023.44;74288.846;4616.711;29408.651;25903.365;134217.573;3898.761;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;7;True;87.4;0.862929;267.35;270.65;4.496077;3.9;;87.4;0.862929;267.35;270.65;4.496077;3.9;;97.3;0.97153;246.1;243.57;4.827833;4.7;;97.0;0.964947;238.13;233.28;4.5235;4.4;;99.6;0.996347;250.81;235.52;7.032685;7.0;;99.6;0.996347;250.81;235.52;7.032685;7.0;;98.4;0.984567;263.9;266.59;5.508167;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3554300;Teodoro Sampaio;822760.153;37106.4;678819.552;30614.69;627028.261;26801.81;125733.521;89635.136;265524.496;103985.516;584878.668;42149.592;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;8;True;93.6;0.93445;272.98;279.26;4.704042;4.4;;93.6;0.93445;272.98;279.26;4.704042;4.4;;98.9;0.988901;263.12;261.8;5.415333;5.4;;98.8;0.987895;261.03;258.42;5.324167;5.3;;100.0;1.0;238.73;220.98;6.537787;6.5;;100.0;1.0;239.9;221.75;6.574115;6.6;;99.5;0.993631;273.32;278.34;5.861;5.8;;100.0;1.0;223.7;211.13;6.071864;6.1;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3554409;Terra Roxa;237426.174;30038.74;182316.05;23066.3;174935.246;18410.36;42624.259;15260.385;63207.555;45914.494;167006.693;7928.553;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;94.2;0.944538;265.68;270.6;4.471873;4.2;;94.2;0.944538;265.68;270.6;4.471873;4.2;;100.0;1.0;270.76;263.54;5.571667;5.6;;;;;;;;;100.0;1.0;250.79;219.78;6.746121;6.7;;100.0;1.0;250.79;219.78;6.746121;6.7;;100.0;1.0;270.76;263.54;5.571667;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3554508;Tietê;2954947.719;78457.58;2473358.84;65670.79;2158402.234;50258.52;64791.462;734290.347;854750.252;214403.526;1868235.587;290166.646;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;6;True;92.7;0.93098;269.56;277.12;4.623972;4.3;;92.7;0.93098;269.56;277.12;4.623972;4.3;;98.5;0.984217;270.1;266.98;5.618;5.5;;;;;;;;;99.5;0.994591;231.29;214.64;6.280529;6.2;;99.5;0.994591;231.29;214.64;6.280529;6.2;;98.5;0.984217;270.1;266.98;5.618;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3554607;Timburi;80267.648;32576.16;62755.097;25468.79;66301.28;25047.71;24316.821;2843.964;17936.369;19346.577;64443.731;1857.549;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;94.9;0.946768;286.1;288.77;5.030677;4.8;;94.9;0.946768;286.1;288.77;5.030677;4.8;;96.3;0.960729;260.67;253.71;5.239667;5.0;;96.3;0.960729;260.67;253.71;5.239667;5.0;;98.0;0.978017;234.63;218.76;6.419179;6.3;;98.0;0.978017;234.63;218.76;6.419179;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
