region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4
5;Centro-oeste;52;GO;Goiás;5200605;Alto Paraíso de Goiás;408321.96;39619.83;402805.285;39114.9;297039.16;38322.69;97359.246;16670.955;114355.133;42900.326;271285.66;25753.5;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;6;True;99.6;0.996982;271.76;297.03;4.952925;4.9;;99.6;0.996982;271.76;297.03;4.952925;4.9;;100.0;1.0;239.97;253.52;4.8915;4.9;;;;;;;;;99.1;0.988654;208.19;205.41;5.671872;5.6;;99.1;0.988654;208.19;205.41;5.671872;5.6;;100.0;1.0;239.97;253.52;4.8915;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5200803;Alvorada do Norte;223108.934;26415.93;209335.193;24785.13;173153.313;19791.21;35089.25;13427.756;66610.797;46926.853;162054.656;11098.657;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;7;True;96.9;0.967983;271.32;276.86;4.644799;4.5;;96.9;0.967983;271.32;276.86;4.644799;4.5;;99.8;0.998241;266.48;271.17;5.6275;5.6;;100.0;1.0;260.28;275.57;5.5975;5.6;;100.0;1.0;214.15;201.29;5.710703;5.7;;100.0;1.0;214.15;201.29;5.710703;5.7;;99.7;0.996463;270.61;268.24;5.6475;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5200829;Amaralina;124600.604;38127.48;110397.999;33781.52;109092.872;28153.0;68022.213;2297.446;12870.366;22759.511;105949.535;3143.337;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;6;True;100.0;1.0;277.08;283.03;4.818063;4.8;;100.0;1.0;277.08;283.03;4.818063;4.8;;100.0;1.0;257.96;252.09;5.1675;5.2;;;;;;;;;97.2;0.971273;198.86;185.37;5.129455;5.0;;97.2;0.971273;198.86;185.37;5.129455;5.0;;100.0;1.0;257.96;252.09;5.1675;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5200852;Americano do Brasil;106098.53;20174.66;97738.099;18584.92;91419.073;14697.6;19264.83;6683.027;23793.105;32062.327;81803.289;9615.785;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;100.0;1.0;265.37;270.23;4.46198;4.5;;100.0;1.0;265.37;270.23;4.46198;4.5;;100.0;1.0;261.18;263.48;5.411;5.4;;;;;;;;;100.0;1.0;252.46;229.5;6.954719;7.0;;100.0;1.0;252.46;229.5;6.954719;7.0;;100.0;1.0;261.18;263.48;5.411;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5200902;Amorinópolis;130844.617;43513.34;130087.048;43261.41;118919.946;39495.17;69835.257;3713.549;20330.961;20814.016;114693.783;4226.163;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;4;True;100.0;1.0;262.61;253.33;4.170222;4.2;;100.0;1.0;262.61;253.33;4.170222;4.2;;97.8;0.974868;262.69;260.36;5.384167;5.2;;;;;;;;;;;;;;;;;;;;;;;97.8;0.974868;262.69;260.36;5.384167;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5201108;Anápolis;20432108.565;51225.11;19393187.192;48626.78;17789473.967;44863.32;161292.829;4987783.159;7616893.69;2012006.88;14777976.558;3011497.41;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;8;True;97.8;0.978948;294.27;297.96;5.282999;5.2;;97.5;0.976269;294.07;297.79;5.277645;5.2;;97.9;0.97896;270.28;272.17;5.7075;5.6;;94.9;0.953551;252.3;259.89;5.203167;5.0;;97.2;0.972414;230.4;220.35;6.367363;6.2;;97.2;0.971991;230.47;220.42;6.369972;6.2;;99.0;0.990242;272.8;273.89;5.778167;5.7;;99.1;0.992327;222.2;212.32;6.064874;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5201207;Anhanguera;26737.509;28936.7;23036.841;24931.65;21701.672;18532.6;2270.725;965.57;6629.631;10636.623;20502.549;1199.123;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;4;True;;;;;;;;;;;;;;;100.0;1.0;259.29;261.57;5.347667;5.3;;;;;;;;;98.1;0.987615;223.47;210.1;6.048747;6.0;;98.1;0.987615;223.47;210.1;6.048747;6.0;;100.0;1.0;259.29;261.57;5.347667;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5201306;Anicuns;730524.309;39481.4;729132.843;39406.2;512611.847;23181.47;99062.733;104993.02;162531.94;105535.634;472123.326;40488.521;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;6;True;100.0;1.0;281.69;277.62;4.801822;4.8;;100.0;1.0;281.69;277.62;4.801822;4.8;;100.0;1.0;300.86;286.22;6.451333;6.5;;;;;;;;;100.0;1.0;261.62;244.39;7.400255;7.4;;100.0;1.0;261.62;244.39;7.400255;7.4;;100.0;1.0;300.86;286.22;6.451333;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5201405;Aparecida de Goiânia;20888936.559;39577.67;19197775.557;36390.44;16981187.791;28215.26;19867.412;3572575.815;8176960.384;2641853.343;14411256.954;2569930.837;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;7;True;96.4;0.965631;274.88;284.72;4.812464;4.6;;96.3;0.963621;275.16;284.93;4.81954;4.6;;96.7;0.966961;251.3;255.44;5.112333;4.9;;89.2;0.894273;233.05;244.18;4.6205;4.1;;98.2;0.981518;209.08;205.71;5.694311;5.6;;98.2;0.981518;209.08;205.71;5.694311;5.6;;98.4;0.983983;253.35;256.71;5.167667;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5201454;Aparecida do Rio Doce;151337.296;52059.61;133887.988;46057.1;110094.353;44500.55;57933.825;3768.066;20140.633;22907.546;104750.07;5344.283;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;91.8;0.917908;270.72;269.74;4.529785;4.2;;91.8;0.917908;270.72;269.74;4.529785;4.2;;93.5;0.933678;255.04;256.92;5.199333;4.9;;93.5;0.933678;255.04;256.92;5.199333;4.9;;98.5;0.985254;232.1;212.27;6.252897;6.2;;98.5;0.985254;232.1;212.27;6.252897;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
