region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9
2;Nordeste;28;SE;Sergipe;2803609;Laranjeiras;638032.867;26612.42;1415005.935;59020.06;1162006.538;38315.91;28986.164;504887.3;235606.17;183039.358;952518.992;209487.546;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;8;True;87.0;0.86318;180.67;169.36;4.491226;3.9;;88.5;0.887505;190.95;179.23;4.866864;4.3;;71.4;0.716057;231.94;228.38;4.338667;3.1;;63.3;0.633611;215.7;212.61;3.805167;2.4;;83.5;0.836377;249.63;241.79;3.815164;3.2;;83.5;0.836377;249.63;241.79;3.815164;3.2;;81.4;0.810213;240.77;236.95;4.628667;3.8;;95.3;0.961368;200.79;188.68;5.226468;5.0;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2803708;Macambira;136318.076;19935.37;101487.733;14841.73;89534.571;12787.0;15540.747;4617.567;21543.327;42340.513;84042.154;5492.418;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;8;True;93.1;0.923663;189.87;184.28;4.938071;4.6;;92.1;0.927383;205.8;194.36;5.425352;5.0;;76.8;0.760579;236.39;241.09;4.624667;3.5;;73.1;0.725411;235.07;238.37;4.557333;3.3;;90.9;0.915765;264.57;265.3;4.376942;4.0;;90.9;0.915765;264.57;265.3;4.376942;4.0;;82.3;0.805954;238.78;246.01;4.7465;3.8;;88.5;0.898546;216.72;201.28;5.759567;5.2;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2803807;Malhada dos Bois;67243.893;18788.46;58964.078;16475.01;52759.619;14201.78;2510.728;3123.419;17203.287;26747.154;49584.587;3175.032;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;4;True;95.1;0.946173;195.38;179.0;4.947224;4.7;;95.1;0.946173;195.38;179.0;4.947224;4.7;;95.4;0.953186;259.28;271.19;5.507833;5.2;;;;;;;;;;;;;;;;;;;;;;;100.0;1.0;259.28;271.19;5.507833;5.5;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2803906;Malhador;224467.342;19463.05;185938.151;16122.27;173217.785;13651.02;52673.894;7073.089;35631.869;69967.138;165345.99;7871.795;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;8;True;88.6;0.871318;175.42;166.94;4.347035;3.8;;90.2;0.895376;187.1;180.34;4.813573;4.3;;76.6;0.767215;243.8;249.55;4.889167;3.8;;73.4;0.73405;248.24;252.31;5.009167;3.7;;86.5;0.876184;278.68;283.74;4.851164;4.3;;86.5;0.876184;278.68;283.74;4.851164;4.3;;83.8;0.834265;238.36;246.16;4.742;4.0;;100.0;1.0;211.64;208.47;5.793348;5.8;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2804003;Maruim;320962.662;20418.77;468340.82;29794.57;448413.882;25877.99;13912.616;143181.249;105122.445;117768.392;379984.703;68429.179;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;Demais serviços;7;True;86.7;0.867567;180.94;168.51;4.480924;3.9;;86.7;0.867567;180.94;168.51;4.480924;3.9;;75.9;0.75701;229.63;228.01;4.294;3.3;;75.6;0.760844;227.32;224.16;4.191333;3.2;;85.5;0.860285;231.51;240.46;3.54076;3.0;;85.5;0.860285;231.51;240.46;3.54076;3.0;;76.8;0.758971;233.17;233.89;4.451;3.4;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2804102;Moita Bonita;280139.71;25352.01;202404.894;18317.18;206468.242;18173.42;82671.933;7105.932;41986.143;62077.657;193841.665;12626.577;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;7;True;84.3;0.842777;189.73;175.5;4.775763;4.0;;84.3;0.842777;189.73;175.5;4.775763;4.0;;77.9;0.772241;250.1;250.53;5.0105;3.9;;71.1;0.707836;245.47;247.57;4.884;3.5;;97.2;0.973338;279.9;264.77;4.584317;4.5;;97.2;0.973338;279.9;264.77;4.584317;4.5;;97.1;0.9692;263.36;259.02;5.373;5.2;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2804201;Monte Alegre de Sergipe;337201.188;23488.52;238046.607;16604.81;218952.565;14296.61;43272.933;9868.103;59210.293;90436.97;202788.298;16164.266;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;8;True;82.4;0.814211;190.74;183.96;4.948856;4.0;;85.8;0.861663;198.36;189.76;5.199731;4.5;;86.6;0.872845;228.02;233.39;4.356833;3.8;;82.1;0.829714;224.68;234.82;4.325;3.6;;86.9;0.870422;262.9;258.64;4.253786;3.7;;86.9;0.870422;262.9;258.64;4.253786;3.7;;95.6;0.957904;232.78;231.37;4.4025;4.2;;98.0;0.980619;210.18;198.76;5.58894;5.5;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2804300;Muribeca;112543.753;14388.1;105508.242;13488.65;96660.396;12630.39;8571.742;8427.484;26290.986;48786.789;92077.001;4583.396;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;94.2;0.944206;187.23;180.76;4.82369;4.6;;94.2;0.944206;187.23;180.76;4.82369;4.6;;87.0;0.867057;243.92;242.42;4.772333;4.1;;82.7;0.825971;218.29;223.96;4.0375;3.3;;93.5;0.936672;247.57;249.67;3.904196;3.7;;93.5;0.936672;247.57;249.67;3.904196;3.7;;94.4;0.944325;257.45;252.15;5.16;4.9;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2804409;Neópolis;382704.881;23298.73;318547.717;19392.9;330965.807;17710.07;79831.415;21603.293;90977.525;105810.189;298222.421;32743.385;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;8;True;99.2;0.992337;175.65;166.81;4.349061;4.3;;99.4;0.994159;199.72;190.49;5.238958;5.2;;96.7;0.966151;236.6;240.63;4.6205;4.5;;98.6;0.983901;200.46;216.19;3.610833;3.6;;97.5;0.97752;261.54;259.36;4.245464;4.2;;97.5;0.97752;261.54;259.36;4.245464;4.2;;95.1;0.949169;242.39;244.54;4.782167;4.5;;99.7;0.997984;211.46;202.03;5.672822;5.7;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2804458;Nossa Senhora Aparecida;209604.537;22704.13;126196.514;13669.47;109900.468;12457.55;19378.608;7066.006;27788.663;48342.513;102575.79;7324.678;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;7;True;93.3;0.93338;192.4;176.69;4.848354;4.5;;93.3;0.93338;192.4;176.69;4.848354;4.5;;77.2;0.766753;242.15;261.84;5.0665;3.9;;73.6;0.722663;231.29;250.33;4.693667;3.4;;82.7;0.82812;261.1;260.61;4.257996;3.5;;82.7;0.82812;261.1;260.61;4.257996;3.5;;85.6;0.847667;257.35;277.95;5.588333;4.7;;;;;;;;;;;;;;;;;;;;;;
